Date,Concessões de crédito - Total,Concessões de crédito - PJ,Concessões de crédito - PF,Concessões de crédito - Livre,Concessões de crédito - Direcionado,Saldo da carteira de crédito - Total,PIB acumulado dos últimos 12 meses,Saldos de crédito - Privado,Saldos de crédito - Público,Taxa média de juros das operações de crédito,Spread médio das operações de crédito,Inadimplência da carteira de crédito
2012-01-01,214365,116230,98134,192708,21656,2033185,4412981.7,1144812,888373,26.8,18.22,3.66
2012-02-01,204149,111611,92539,182427,21723,2041040,4448184.5,1146273,894768,26.86,18.63,3.71
2012-03-01,241689,139145,102544,215826,25863,2078912,4489325.6,1163169,915743,26.54,18.41,3.67
2012-04-01,232678,131809,100869,207523,25155,2106585,4520587.8,1172206,934379,25.96,18.21,3.76
2012-05-01,255850,145295,110556,226037,29814,2142061,4554177.4,1183595,958466,24.36,16.96,3.76
2012-06-01,244247,141554,102693,214348,29899,2175135,4585739.0,1190984,984151,23.62,16.34,3.71
2012-07-01,242241,138465,103776,210938,31303,2192888,4627426.9,1192754,1000134,23.03,16.12,3.72
2012-08-01,254479,144480,109999,215755,38724,2219866,4671291.7,1199805,1020061,22.54,15.69,3.75
2012-09-01,235073,135395,99678,199684,35389,2244474,4703853.6,1204080,1040394,22.3,15.52,3.72
2012-10-01,272112,153143,118968,231345,40766,2276286,4751483.1,1208747,1067539,21.72,15.14,3.76
2012-11-01,255426,142492,112933,219250,36176,2310841,4786545.6,1220277,1090564,21.47,14.93,3.67
2012-12-01,291095,170949,120146,233730,57365,2368338,4814760.0,1233997,1134341,20.39,13.95,3.55
2013-01-01,239834,127202,112632,210573,29261,2366165,4859459.1,1225192,1140973,20.84,14.47,3.54
2013-02-01,226768,123975,102793,196797,29971,2383597,4890027.5,1230754,1152844,21.18,14.59,3.51
2013-03-01,253830,141873,111957,217079,36750,2427062,4926899.2,1245883,1181179,20.93,14.21,3.45
2013-04-01,269990,146857,123133,229352,40638,2449147,4987524.1,1246177,1202970,20.83,14.11,3.47
2013-05-01,285961,161430,124531,240857,45104,2487294,5026997.0,1257811,1229483,20.57,13.78,3.47
2013-06-01,278819,158939,119879,224480,54339,2531576,5066353.2,1258971,1272605,20.85,13.34,3.25
2013-07-01,266075,139441,126634,228693,37382,2545127,5109929.7,1258720,1286406,21.28,13.69,3.21
2013-08-01,272139,144479,127660,227021,45118,2577874,5144959.4,1271045,1306830,21.46,13.55,3.13
2013-09-01,268855,146550,122305,227163,41692,2597168,5190038.5,1282991,1314176,21.61,13.53,3.14
2013-10-01,283201,152806,130395,239284,43918,2604241,5234346.7,1283188,1321054,21.98,13.79,3.06
2013-11-01,272926,147856,125070,230368,42557,2646873,5278071.3,1298747,1348126,22.21,13.74,2.97
2013-12-01,324165,182483,141683,262220,61946,2711371,5331619.0,1320718,1390653,21.87,13.28,2.86
2014-01-01,258890,134191,124700,220684,38206,2713271,5376008.7,1309858,1403413,22.84,13.99,2.84
2014-02-01,261076,138129,122947,221066,40010,2725652,5433417.2,1312158,1413494,23.38,14.75,2.86
2014-03-01,269914,148677,121237,229414,40500,2752289,5475987.8,1319846,1432443,23.53,14.72,2.88
2014-04-01,274446,147282,127163,233117,41329,2771347,5509204.3,1321009,1450338,23.41,14.81,2.92
2014-05-01,281894,147222,134672,239948,41946,2798015,5549143.0,1328915,1469100,23.59,14.95,3.0
2014-06-01,285440,154176,131264,237567,47873,2824626,5575730.9,1332857,1491769,23.46,15.02,2.9
2014-07-01,273713,138134,135579,232139,41574,2830844,5610038.7,1328079,1502766,23.7,15.3,2.96
2014-08-01,271693,138502,133190,225830,45862,2857674,5640035.7,1337682,1519991,23.61,15.18,2.98
2014-09-01,295760,155267,140494,246191,49569,2896570,5683722.3,1351052,1545518,23.26,14.84,2.91
2014-10-01,295130,148079,147051,247956,47174,2919447,5716978.0,1354847,1564600,23.79,15.18,2.96
2014-11-01,275246,142273,132972,233007,42238,2956599,5745161.4,1367628,1588972,23.87,15.12,2.85
2014-12-01,336989,182798,154191,278564,58424,3017456,5778953.0,1394348,1623109,23.39,14.61,2.73
2015-01-01,258635,127678,130957,225064,33571,3021469,5800025.9,1382024,1639445,24.6,15.68,2.82
2015-02-01,229875,115139,114736,203089,26785,3033503,5811266.1,1381213,1652290,25.32,16.28,2.85
2015-03-01,291275,154414,136861,253029,38247,3070618,5849624.5,1391730,1678888,25.51,16.03,2.82
2015-04-01,270008,140356,129652,233516,36492,3070707,5867021.2,1387113,1683645,26.13,16.75,2.96
2015-05-01,268569,139693,128876,234794,33774,3092373,5878032.1,1389715,1702658,26.73,17.05,3.02
2015-06-01,288714,155781,132932,246950,41764,3109967,5907266.7,1396445,1713522,27.25,17.44,2.92
2015-07-01,270957,137705,133252,234452,36505,3119102,5927538.5,1390068,1729034,28.05,18.06,3.03
2015-08-01,260543,128850,131692,224672,35871,3143987,5945152.7,1396484,1747503,28.55,18.32,3.12
2015-09-01,275332,146433,128899,235886,39446,3174090,5953369.4,1401903,1772187,29.06,18.21,3.12
2015-10-01,261153,136004,125149,226431,34722,3166774,5965712.9,1396926,1769848,29.85,18.83,3.24
2015-11-01,267109,136284,130825,233154,33956,3186591,5980761.4,1406163,1780428,30.13,19.09,3.38
2015-12-01,312270,171971,140300,265343,46927,3229576,5995787.0,1420157,1809478,29.38,18.21,3.37
2016-01-01,221091,107005,114085,200658,20433,3208123,6003128.3,1396999,1811123,31.03,19.78,3.47
2016-02-01,226223,108863,117361,205487,20736,3192287,6026858.5,1386556,1805731,31.52,20.56,3.5
2016-03-01,260281,133022,127259,231281,29000,3170854,6039452.6,1375906,1794948,31.71,21.28,3.53
2016-04-01,239653,118963,120691,211721,27932,3150823,6063168.7,1364758,1786065,32.13,21.99,3.65
2016-05-01,254322,124728,129595,227095,27227,3157795,6087403.4,1363722,1794074,32.23,22.32,3.73
2016-06-01,267408,134026,133381,229664,37744,3140231,6118558.5,1358556,1781676,32.08,22.17,3.51
2016-07-01,234469,109760,124708,205877,28591,3126702,6133331.9,1349546,1777156,32.54,22.68,3.56
2016-08-01,251986,115250,136737,221869,30117,3125535,6162708.9,1351411,1774124,32.69,22.93,3.64
2016-09-01,247578,123879,123699,219440,28138,3121960,6187501.9,1354233,1767727,32.71,23.12,3.68
2016-10-01,241097,112895,128202,216059,25038,3105525,6205866.7,1355729,1749796,32.99,23.61,3.84
2016-11-01,256250,119709,136541,227695,28555,3114587,6238414.5,1360938,1753649,32.8,23.23,3.8
2016-12-01,289468,145139,144329,249582,39886,3117809,6269328.0,1377930,1739879,31.81,22.31,3.7
2017-01-01,232184,103319,128865,212483,19701,3086116,6301443.4,1358871,1727293,32.54,23.59,3.73
2017-02-01,207477,93563,113914,187407,20070,3083038,6321826.6,1359907,1723130,31.78,23.55,3.75
2017-03-01,274379,130131,144248,249510,24869,3090455,6354593.3,1364688,1725766,31.72,23.5,3.85
2017-04-01,227886,104394,123492,202388,25499,3082414,6371360.8,1357714,1724700,29.82,22.01,3.93
2017-05-01,260949,116359,144590,233296,27653,3077588,6405809.5,1354068,1723520,28.74,20.77,4.04
2017-06-01,278300,134835,143465,244643,33657,3090213,6426159.9,1360959,1729255,28.52,20.64,3.73
2017-07-01,240687,103482,137205,215887,24799,3065064,6452587.2,1351557,1713507,28.95,21.41,3.69
2017-08-01,266033,119164,146869,236178,29854,3063766,6477780.4,1359280,1704486,28.47,21.28,3.7
2017-09-01,251855,116090,135764,225178,26677,3063640,6497619.0,1367339,1696301,26.85,20.01,3.6
2017-10-01,264017,117530,146487,236677,27340,3068523,6526728.1,1373710,1694814,27.36,20.58,3.63
2017-11-01,271125,121881,149244,245740,25384,3080362,6554679.3,1389509,1690853,26.82,20.05,3.54
2017-12-01,305726,156212,149514,273365,32361,3105277,6585479.0,1422459,1682818,25.49,18.75,3.24
2018-01-01,255548,109916,145632,236917,18631,3080974,6624394.0,1411096,1669878,25.98,19.44,3.42
2018-02-01,244817,114247,130570,227245,17572,3074312,6653661.3,1411802,1662510,26.56,20.08,3.43
2018-03-01,281668,135803,145865,257883,23785,3094386,6682355.0,1432879,1661515,25.88,19.63,3.29
2018-04-01,280100,132459,147641,255152,24948,3103899,6732545.5,1443523,1660401,25.61,19.39,3.32
2018-05-01,283288,130953,152335,255651,27637,3117593,6743822.8,1455138,1662495,24.64,18.18,3.3
2018-06-01,292071,142293,149778,261880,30190,3138842,6786171.2,1472880,1666021,24.31,17.31,3.04
2018-07-01,278588,126784,151804,253479,25109,3134446,6830095.2,1476551,1657983,24.14,17.35,3.02
2018-08-01,310499,142999,167501,274233,36266,3166304,6873225.6,1499645,1666753,24.1,17.12,3.04
2018-09-01,277534,130191,147344,249207,28327,3181647,6905408.5,1518771,1662876,24.09,17.03,3.04
2018-10-01,303446,136620,166826,274448,28998,3177146,6948683.1,1522000,1655147,24.38,17.71,3.05
2018-11-01,308013,134463,173549,279941,28071,3212535,6982118.5,1551779,1660756,24.37,17.91,2.96
2018-12-01,340794,170266,170527,303250,37544,3265064,7004141.0,1594225,1670838,23.05,16.73,2.87
2019-01-01,284019,123927,160092,265018,19001,3237076,7029631.6,1582485,1654592,24.46,18.29,2.95
2019-02-01,284219,128877,155342,262495,21724,3247396,7065598.2,1596128,1651268,24.79,18.7,2.91
2019-03-01,297678,141651,156026,275999,21678,3273000,7077734.5,1625061,1647938,25.07,18.92,2.99
