,NC,NN,MC,MN,V,D1C,D1N,D2C,D2N,D3C,D3N
0,Nível Territorial (Código),Nível Territorial,Unidade de Medida (Código),Unidade de Medida,Valor,Brasil (Código),Brasil,Mês (Código),Mês,Variável (Código),Variável
1,1,Brasil,30,Número-índice,0.0000000076183,1,Brasil,197912,dezembro 1979,2266,IPCA - Número-índice (base: dezembro de 1993 = 100)
2,1,Brasil,30,Número-índice,0.0000000081223,1,Brasil,198001,janeiro 1980,2266,IPCA - Número-índice (base: dezembro de 1993 = 100)
3,1,Brasil,30,Número-índice,0.0000000084973,1,Brasil,198002,fevereiro 1980,2266,IPCA - Número-índice (base: dezembro de 1993 = 100)
4,1,Brasil,30,Número-índice,0.0000000090104,1,Brasil,198003,março 1980,2266,IPCA - Número-índice (base: dezembro de 1993 = 100)
5,1,Brasil,30,Número-índice,0.0000000094867,1,Brasil,198004,abril 1980,2266,IPCA - Número-índice (base: dezembro de 1993 = 100)
6,1,Brasil,30,Número-índice,0.0000000100277,1,Brasil,198005,maio 1980,2266,IPCA - Número-índice (base: dezembro de 1993 = 100)
7,1,Brasil,30,Número-índice,0.0000000105597,1,Brasil,198006,junho 1980,2266,IPCA - Número-índice (base: dezembro de 1993 = 100)
8,1,Brasil,30,Número-índice,0.0000000111453,1,Brasil,198007,julho 1980,2266,IPCA - Número-índice (base: dezembro de 1993 = 100)
9,1,Brasil,30,Número-índice,0.0000000116965,1,Brasil,198008,agosto 1980,2266,IPCA - Número-índice (base: dezembro de 1993 = 100)
10,1,Brasil,30,Número-índice,0.0000000121913,1,Brasil,198009,setembro 1980,2266,IPCA - Número-índice (base: dezembro de 1993 = 100)
11,1,Brasil,30,Número-índice,0.0000000133471,1,Brasil,198010,outubro 1980,2266,IPCA - Número-índice (base: dezembro de 1993 = 100)
12,1,Brasil,30,Número-índice,0.0000000142378,1,Brasil,198011,novembro 1980,2266,IPCA - Número-índice (base: dezembro de 1993 = 100)
13,1,Brasil,30,Número-índice,0.0000000151795,1,Brasil,198012,dezembro 1980,2266,IPCA - Número-índice (base: dezembro de 1993 = 100)
14,1,Brasil,30,Número-índice,0.0000000162174,1,Brasil,198101,janeiro 1981,2266,IPCA - Número-índice (base: dezembro de 1993 = 100)
15,1,Brasil,30,Número-índice,0.0000000172555,1,Brasil,198102,fevereiro 1981,2266,IPCA - Número-índice (base: dezembro de 1993 = 100)
16,1,Brasil,30,Número-índice,0.0000000181134,1,Brasil,198103,março 1981,2266,IPCA - Número-índice (base: dezembro de 1993 = 100)
17,1,Brasil,30,Número-índice,0.0000000192839,1,Brasil,198104,abril 1981,2266,IPCA - Número-índice (base: dezembro de 1993 = 100)
18,1,Brasil,30,Número-índice,0.0000000203560,1,Brasil,198105,maio 1981,2266,IPCA - Número-índice (base: dezembro de 1993 = 100)
19,1,Brasil,30,Número-índice,0.0000000214792,1,Brasil,198106,junho 1981,2266,IPCA - Número-índice (base: dezembro de 1993 = 100)
20,1,Brasil,30,Número-índice,0.0000000228229,1,Brasil,198107,julho 1981,2266,IPCA - Número-índice (base: dezembro de 1993 = 100)
21,1,Brasil,30,Número-índice,0.0000000240772,1,Brasil,198108,agosto 1981,2266,IPCA - Número-índice (base: dezembro de 1993 = 100)
22,1,Brasil,30,Número-índice,0.0000000253429,1,Brasil,198109,setembro 1981,2266,IPCA - Número-índice (base: dezembro de 1993 = 100)
23,1,Brasil,30,Número-índice,0.0000000266297,1,Brasil,198110,outubro 1981,2266,IPCA - Número-índice (base: dezembro de 1993 = 100)
24,1,Brasil,30,Número-índice,0.0000000280335,1,Brasil,198111,novembro 1981,2266,IPCA - Número-índice (base: dezembro de 1993 = 100)
25,1,Brasil,30,Número-índice,0.0000000296946,1,Brasil,198112,dezembro 1981,2266,IPCA - Número-índice (base: dezembro de 1993 = 100)
26,1,Brasil,30,Número-índice,0.0000000317628,1,Brasil,198201,janeiro 1982,2266,IPCA - Número-índice (base: dezembro de 1993 = 100)
27,1,Brasil,30,Número-índice,0.0000000338708,1,Brasil,198202,fevereiro 1982,2266,IPCA - Número-índice (base: dezembro de 1993 = 100)
28,1,Brasil,30,Número-índice,0.0000000358057,1,Brasil,198203,março 1982,2266,IPCA - Número-índice (base: dezembro de 1993 = 100)
29,1,Brasil,30,Número-índice,0.0000000379137,1,Brasil,198204,abril 1982,2266,IPCA - Número-índice (base: dezembro de 1993 = 100)
30,1,Brasil,30,Número-índice,0.0000000404382,1,Brasil,198205,maio 1982,2266,IPCA - Número-índice (base: dezembro de 1993 = 100)
31,1,Brasil,30,Número-índice,0.0000000433113,1,Brasil,198206,junho 1982,2266,IPCA - Número-índice (base: dezembro de 1993 = 100)
32,1,Brasil,30,Número-índice,0.0000000460650,1,Brasil,198207,julho 1982,2266,IPCA - Número-índice (base: dezembro de 1993 = 100)
33,1,Brasil,30,Número-índice,0.0000000488164,1,Brasil,198208,agosto 1982,2266,IPCA - Número-índice (base: dezembro de 1993 = 100)
34,1,Brasil,30,Número-índice,0.0000000512964,1,Brasil,198209,setembro 1982,2266,IPCA - Número-índice (base: dezembro de 1993 = 100)
35,1,Brasil,30,Número-índice,0.0000000535752,1,Brasil,198210,outubro 1982,2266,IPCA - Número-índice (base: dezembro de 1993 = 100)
36,1,Brasil,30,Número-índice,0.0000000564085,1,Brasil,198211,novembro 1982,2266,IPCA - Número-índice (base: dezembro de 1993 = 100)
37,1,Brasil,30,Número-índice,0.0000000608117,1,Brasil,198212,dezembro 1982,2266,IPCA - Número-índice (base: dezembro de 1993 = 100)
38,1,Brasil,30,Número-índice,0.0000000660665,1,Brasil,198301,janeiro 1983,2266,IPCA - Número-índice (base: dezembro de 1993 = 100)
39,1,Brasil,30,Número-índice,0.0000000712581,1,Brasil,198302,fevereiro 1983,2266,IPCA - Número-índice (base: dezembro de 1993 = 100)
40,1,Brasil,30,Número-índice,0.0000000764919,1,Brasil,198303,março 1983,2266,IPCA - Número-índice (base: dezembro de 1993 = 100)
41,1,Brasil,30,Número-índice,0.0000000815245,1,Brasil,198304,abril 1983,2266,IPCA - Número-índice (base: dezembro de 1993 = 100)
