data,Concessões de crédito - Total,ipca_credito,deflacionado,ajuste
2012-01-01,214365,3422.79,421838.96054096223,459.154127725639
2012-02-01,204149,3438.19,399935.9537867308,460.417668535021
2012-03-01,241689,3445.41,472486.1029456582,462.787607213273
2012-04-01,232678,3467.46,451977.6155745128,462.164011674082
2012-05-01,255850,3479.94,495206.94825198135,483.178752629189
2012-06-01,244247,3482.72,472371.5604039372,465.113353305048
2012-07-01,242241,3497.7,466485.5097778541,477.145229467985
2012-08-01,254479,3512.04,488051.3970370497,493.139697773516
2012-09-01,235073,3532.06,448278.32628834166,442.136859957703
2012-10-01,272112,3552.9,515867.0330152833,501.653028894593
2012-11-01,255426,3574.22,481345.4667871592,484.998396438594
2012-12-01,291095,3602.46,544262.7891079985,465.78240014715
2013-01-01,239834,3633.44,444596.27754964994,482.837466897392
2013-02-01,226768,3655.24,417867.8287609022,477.453457732664
2013-03-01,253830,3672.42,465547.147793553,455.458610527525
2013-04-01,269990,3692.62,492477.19627256534,503.279339324003
2013-05-01,285961,3706.28,519686.751554119,509.345998751841
2013-06-01,278819,3715.92,505392.82746937504,496.147047811201
2013-07-01,266075,3717.03,482148.7763752243,492.952970290472
2013-08-01,272139,3725.95,491956.63963552925,496.653285598659
2013-09-01,268855,3738.99,484324.99023800547,478.047225199838
2013-10-01,283201,3760.3,507277.2107411642,495.404140073286
2013-11-01,272926,3780.61,486246.06063571747,488.019669587294
2013-12-01,324165,3815.39,572269.0382241397,494.981495536613
2014-01-01,258890,3836.37,454535.5477964847,492.875355485889
2014-02-01,261076,3862.84,455232.5366310797,514.022804681569
2014-03-01,269914,3898.38,466352.49583160185,454.569174784597
2014-04-01,274446,3924.5,471026.82005351,482.967253686032
2014-05-01,281894,3942.55,481594.6866114571,474.255518068852
2014-06-01,285440,3958.32,485709.94563350105,472.303681640923
2014-07-01,273713,3958.72,465708.00590847555,477.412427531389
2014-08-01,271693,3968.62,461117.91659317346,465.121085231124
2014-09-01,295760,3991.24,499119.63900943066,493.352194238944
2014-10-01,295130,4008.0,495973.7703343314,487.300537175278
2014-11-01,275246,4028.44,460211.19721281686,459.721520678271
2014-12-01,336989,4059.86,559084.8598104368,484.041033308082
2015-01-01,258635,4110.2,423835.57351223787,461.358147229352
2015-02-01,229875,4160.34,372165.3894273064,428.394616991884
2015-03-01,291275,4215.26,465427.35827683227,452.725024460679
2015-04-01,270008,4245.19,428403.05955681606,441.35609945487
2015-05-01,268569,4276.6,422990.2090328766,418.825668323037
2015-06-01,288714,4310.39,451153.51109760365,434.694875472537
2015-07-01,270957,4337.11,420797.3561542133,434.130114833594
2015-08-01,260543,4346.65,403736.3035095994,404.936943016791
2015-09-01,275332,4370.12,424361.90598885156,419.116507141926
2015-10-01,261153,4405.95,399234.9184965785,393.417356840474
2015-11-01,267109,4450.45,404257.1032030469,401.234351656108
2015-12-01,312270,4493.17,468112.7574741218,397.380786022487
2016-01-01,221091,4550.23,327273.453221046,362.587756055271
2016-02-01,226223,4591.18,331883.37805313664,387.468122778203
2016-03-01,260281,4610.92,380213.85960936215,365.927170009402
2016-04-01,239653,4639.05,347958.044028411,361.768668752948
2016-05-01,254322,4675.23,366398.7754827036,364.436824293689
2016-06-01,267408,4691.59,383908.2175552425,366.441604347228
2016-07-01,234469,4715.99,334877.2310691923,348.15483692246
2016-08-01,251986,4736.74,358319.0764745374,356.157934738563
2016-09-01,247578,4740.53,351769.5274368056,347.467957985772
2016-10-01,241097,4752.86,341672.3611362422,337.525341506433
2016-11-01,256250,4761.42,362493.68623225845,356.829669749783
2016-12-01,289468,4775.7,408259.77079799824,342.186958580067
2017-01-01,232184,4793.85,326227.75873254274,360.763391848971
2017-02-01,207477,4809.67,290554.5925915915,346.080735971572
2017-03-01,274379,4821.69,383287.4932751795,368.221188224182
2017-04-01,227886,4828.44,317895.12705967145,331.951385440861
2017-05-01,260949,4843.41,362892.06095498835,361.005876059434
2017-06-01,278300,4832.27,387913.6647993593,373.009897103993
2017-07-01,240687,4843.87,334682.66548235196,347.217040671367
