DATE,CODE,RAW DATE,DAY,MONTH,YEAR,VALUE (Pessoa)
2020-01-01,CAGED12_ADMISN12,2020-01-01T00:00:00-03:00,1,1,2020,1384986.0
2020-02-01,CAGED12_ADMISN12,2020-02-01T00:00:00-03:00,1,2,2020,1483832.0
2020-03-01,CAGED12_ADMISN12,2020-03-01T00:00:00-03:00,1,3,2020,1347665.0
2020-04-01,CAGED12_ADMISN12,2020-04-01T00:00:00-03:00,1,4,2020,617644.0
2020-05-01,CAGED12_ADMISN12,2020-05-01T00:00:00-03:00,1,5,2020,716330.0
2020-06-01,CAGED12_ADMISN12,2020-06-01T00:00:00-03:00,1,6,2020,910176.0
2020-07-01,CAGED12_ADMISN12,2020-07-01T00:00:00-03:00,1,7,2020,1061898.0
2020-08-01,CAGED12_ADMISN12,2020-08-01T00:00:00-03:00,1,8,2020,1257362.0
2020-09-01,CAGED12_ADMISN12,2020-09-01T00:00:00-03:00,1,9,2020,1406746.0
2020-10-01,CAGED12_ADMISN12,2020-10-01T00:00:00-03:00,1,10,2020,1571402.0
2020-11-01,CAGED12_ADMISN12,2020-11-01T00:00:00-03:00,1,11,2020,1552837.0
2020-12-01,CAGED12_ADMISN12,2020-12-01T00:00:00-03:00,1,12,2020,1256247.0
2021-01-01,CAGED12_ADMISN12,2021-01-01T00:00:00-03:00,1,1,2021,1550075.0
2021-02-01,CAGED12_ADMISN12,2021-02-01T00:00:00-03:00,1,2,2021,1715425.0
2021-03-01,CAGED12_ADMISN12,2021-03-01T00:00:00-03:00,1,3,2021,1626885.0
2021-04-01,CAGED12_ADMISN12,2021-04-01T00:00:00-03:00,1,4,2021,1396311.0
2021-05-01,CAGED12_ADMISN12,2021-05-01T00:00:00-03:00,1,5,2021,1558316.0
2021-06-01,CAGED12_ADMISN12,2021-06-01T00:00:00-03:00,1,6,2021,1609748.0
2021-07-01,CAGED12_ADMISN12,2021-07-01T00:00:00-03:00,1,7,2021,1666051.0
2021-08-01,CAGED12_ADMISN12,2021-08-01T00:00:00-03:00,1,8,2021,1819411.0
2021-09-01,CAGED12_ADMISN12,2021-09-01T00:00:00-03:00,1,9,2021,1789967.0
2021-10-01,CAGED12_ADMISN12,2021-10-01T00:00:00-03:00,1,10,2021,1760739.0
2021-11-01,CAGED12_ADMISN12,2021-11-01T00:00:00-03:00,1,11,2021,1772766.0
2021-12-01,CAGED12_ADMISN12,2021-12-01T00:00:00-03:00,1,12,2021,1437910.0
2022-01-01,CAGED12_ADMISN12,2022-01-01T00:00:00-03:00,1,1,2022,1777646.0
2022-02-01,CAGED12_ADMISN12,2022-02-01T00:00:00-03:00,1,2,2022,2013143.0
2022-03-01,CAGED12_ADMISN12,2022-03-01T00:00:00-03:00,1,3,2022,1953071.0
2022-04-01,CAGED12_ADMISN12,2022-04-01T00:00:00-03:00,1,4,2022,1854557.0
2022-05-01,CAGED12_ADMISN12,2022-05-01T00:00:00-03:00,1,5,2022,1960960.0
2022-06-01,CAGED12_ADMISN12,2022-06-01T00:00:00-03:00,1,6,2022,1898876.0
2022-07-01,CAGED12_ADMISN12,2022-07-01T00:00:00-03:00,1,7,2022,1886537.0
2022-08-01,CAGED12_ADMISN12,2022-08-01T00:00:00-03:00,1,8,2022,2051800.0
2022-09-01,CAGED12_ADMISN12,2022-09-01T00:00:00-03:00,1,9,2022,1926572.0
2022-10-01,CAGED12_ADMISN12,2022-10-01T00:00:00-03:00,1,10,2022,1789462.0
2022-11-01,CAGED12_ADMISN12,2022-11-01T00:00:00-03:00,1,11,2022,1747894.0
2022-12-01,CAGED12_ADMISN12,2022-12-01T00:00:00-03:00,1,12,2022,1382923.0
2023-01-01,CAGED12_ADMISN12,2023-01-01T00:00:00-03:00,1,1,2023,1874226.0
2023-02-01,CAGED12_ADMISN12,2023-02-01T00:00:00-03:00,1,2,2023,1949844.0
2023-03-01,CAGED12_ADMISN12,2023-03-01T00:00:00-03:00,1,3,2023,2168418.0
2023-04-01,CAGED12_ADMISN12,2023-04-01T00:00:00-03:00,1,4,2023,1865279.0
2023-05-01,CAGED12_ADMISN12,2023-05-01T00:00:00-03:00,1,5,2023,2000202.0
2023-06-01,CAGED12_ADMISN12,2023-06-01T00:00:00-03:00,1,6,2023,1914130.0
2023-07-01,CAGED12_ADMISN12,2023-07-01T00:00:00-03:00,1,7,2023,1883198.0
