DATE,CODE,RAW DATE,DAY,MONTH,YEAR,VALUE (Pessoa)
2020-01-01,CAGED12_DESLIGN12,2020-01-01T00:00:00-03:00,1,1,2020,1292308.0
2020-02-01,CAGED12_DESLIGN12,2020-02-01T00:00:00-03:00,1,2,2020,1285464.0
2020-03-01,CAGED12_DESLIGN12,2020-03-01T00:00:00-03:00,1,3,2020,1579981.0
2020-04-01,CAGED12_DESLIGN12,2020-04-01T00:00:00-03:00,1,4,2020,1519961.0
2020-05-01,CAGED12_DESLIGN12,2020-05-01T00:00:00-03:00,1,5,2020,1069120.0
2020-06-01,CAGED12_DESLIGN12,2020-06-01T00:00:00-03:00,1,6,2020,933287.0
2020-07-01,CAGED12_DESLIGN12,2020-07-01T00:00:00-03:00,1,7,2020,938601.0
2020-08-01,CAGED12_DESLIGN12,2020-08-01T00:00:00-03:00,1,8,2020,1019237.0
2020-09-01,CAGED12_DESLIGN12,2020-09-01T00:00:00-03:00,1,9,2020,1093182.0
2020-10-01,CAGED12_DESLIGN12,2020-10-01T00:00:00-03:00,1,10,2020,1182464.0
2020-11-01,CAGED12_DESLIGN12,2020-11-01T00:00:00-03:00,1,11,2020,1143889.0
2020-12-01,CAGED12_DESLIGN12,2020-12-01T00:00:00-03:00,1,12,2020,1338365.0
2021-01-01,CAGED12_DESLIGN12,2021-01-01T00:00:00-03:00,1,1,2021,1293016.0
2021-02-01,CAGED12_DESLIGN12,2021-02-01T00:00:00-03:00,1,2,2021,1317510.0
2021-03-01,CAGED12_DESLIGN12,2021-03-01T00:00:00-03:00,1,3,2021,1450555.0
2021-04-01,CAGED12_DESLIGN12,2021-04-01T00:00:00-03:00,1,4,2021,1282389.0
2021-05-01,CAGED12_DESLIGN12,2021-05-01T00:00:00-03:00,1,5,2021,1279611.0
2021-06-01,CAGED12_DESLIGN12,2021-06-01T00:00:00-03:00,1,6,2021,1299712.0
2021-07-01,CAGED12_DESLIGN12,2021-07-01T00:00:00-03:00,1,7,2021,1349326.0
2021-08-01,CAGED12_DESLIGN12,2021-08-01T00:00:00-03:00,1,8,2021,1446067.0
2021-09-01,CAGED12_DESLIGN12,2021-09-01T00:00:00-03:00,1,9,2021,1472974.0
2021-10-01,CAGED12_DESLIGN12,2021-10-01T00:00:00-03:00,1,10,2021,1507656.0
2021-11-01,CAGED12_DESLIGN12,2021-11-01T00:00:00-03:00,1,11,2021,1448654.0
2021-12-01,CAGED12_DESLIGN12,2021-12-01T00:00:00-03:00,1,12,2021,1703721.0
2022-01-01,CAGED12_DESLIGN12,2022-01-01T00:00:00-03:00,1,1,2022,1622468.0
2022-02-01,CAGED12_DESLIGN12,2022-02-01T00:00:00-03:00,1,2,2022,1684636.0
2022-03-01,CAGED12_DESLIGN12,2022-03-01T00:00:00-03:00,1,3,2022,1816882.0
2022-04-01,CAGED12_DESLIGN12,2022-04-01T00:00:00-03:00,1,4,2022,1657591.0
2022-05-01,CAGED12_DESLIGN12,2022-05-01T00:00:00-03:00,1,5,2022,1683942.0
2022-06-01,CAGED12_DESLIGN12,2022-06-01T00:00:00-03:00,1,6,2022,1620932.0
2022-07-01,CAGED12_DESLIGN12,2022-07-01T00:00:00-03:00,1,7,2022,1667635.0
2022-08-01,CAGED12_DESLIGN12,2022-08-01T00:00:00-03:00,1,8,2022,1773161.0
2022-09-01,CAGED12_DESLIGN12,2022-09-01T00:00:00-03:00,1,9,2022,1648487.0
2022-10-01,CAGED12_DESLIGN12,2022-10-01T00:00:00-03:00,1,10,2022,1630008.0
2022-11-01,CAGED12_DESLIGN12,2022-11-01T00:00:00-03:00,1,11,2022,1612399.0
2022-12-01,CAGED12_DESLIGN12,2022-12-01T00:00:00-03:00,1,12,2022,1813934.0
2023-01-01,CAGED12_DESLIGN12,2023-01-01T00:00:00-03:00,1,1,2023,1790929.0
2023-02-01,CAGED12_DESLIGN12,2023-02-01T00:00:00-03:00,1,2,2023,1708059.0
2023-03-01,CAGED12_DESLIGN12,2023-03-01T00:00:00-03:00,1,3,2023,1973247.0
2023-04-01,CAGED12_DESLIGN12,2023-04-01T00:00:00-03:00,1,4,2023,1685274.0
2023-05-01,CAGED12_DESLIGN12,2023-05-01T00:00:00-03:00,1,5,2023,1844932.0
2023-06-01,CAGED12_DESLIGN12,2023-06-01T00:00:00-03:00,1,6,2023,1756932.0
2023-07-01,CAGED12_DESLIGN12,2023-07-01T00:00:00-03:00,1,7,2023,1740496.0
2023-08-01,CAGED12_DESLIGN12,2023-08-01T00:00:00-03:00,1,8,2023,1878367.0
2023-09-01,CAGED12_DESLIGN12,2023-09-01T00:00:00-03:00,1,9,2023,1705293.0
2023-10-01,CAGED12_DESLIGN12,2023-10-01T00:00:00-03:00,1,10,2023,1750915.0
2023-11-01,CAGED12_DESLIGN12,2023-11-01T00:00:00-03:00,1,11,2023,1736655.0
2023-12-01,CAGED12_DESLIGN12,2023-12-01T00:00:00-03:00,1,12,2023,1932722.0
2024-01-01,CAGED12_DESLIGN12,2024-01-01T00:00:00-03:00,1,1,2024,1887422.0
2024-02-01,CAGED12_DESLIGN12,2024-02-01T00:00:00-03:00,1,2,2024,1942959.0
2024-03-01,CAGED12_DESLIGN12,2024-03-01T00:00:00-03:00,1,3,2024,2018105.0
2024-04-01,CAGED12_DESLIGN12,2024-04-01T00:00:00-03:00,1,4,2024,2020406.0
