,NC,NN,MC,MN,V,D1C,D1N,D2C,D2N,D3C,D3N,D4C,D4N
0,Nível Territorial (Código),Nível Territorial,Unidade de Medida (Código),Unidade de Medida,Valor,Brasil (Código),Brasil,Trimestre (Código),Trimestre,Variável (Código),Variável,Sexo (Código),Sexo
1,1,Brasil,2,%,8.0,1,Brasil,201201,1º trimestre 2012,4099,"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade",6794,Total
2,1,Brasil,2,%,6.2,1,Brasil,201201,1º trimestre 2012,4099,"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade",4,Homens
3,1,Brasil,2,%,10.5,1,Brasil,201201,1º trimestre 2012,4099,"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade",5,Mulheres
4,1,Brasil,2,%,7.6,1,Brasil,201202,2º trimestre 2012,4099,"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade",6794,Total
5,1,Brasil,2,%,6.1,1,Brasil,201202,2º trimestre 2012,4099,"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade",4,Homens
6,1,Brasil,2,%,9.6,1,Brasil,201202,2º trimestre 2012,4099,"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade",5,Mulheres
7,1,Brasil,2,%,7.1,1,Brasil,201203,3º trimestre 2012,4099,"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade",6794,Total
8,1,Brasil,2,%,5.8,1,Brasil,201203,3º trimestre 2012,4099,"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade",4,Homens
9,1,Brasil,2,%,9.0,1,Brasil,201203,3º trimestre 2012,4099,"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade",5,Mulheres
10,1,Brasil,2,%,6.9,1,Brasil,201204,4º trimestre 2012,4099,"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade",6794,Total
11,1,Brasil,2,%,5.7,1,Brasil,201204,4º trimestre 2012,4099,"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade",4,Homens
12,1,Brasil,2,%,8.5,1,Brasil,201204,4º trimestre 2012,4099,"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade",5,Mulheres
13,1,Brasil,2,%,8.1,1,Brasil,201301,1º trimestre 2013,4099,"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade",6794,Total
