,NC,NN,MC,MN,V,D1C,D1N,D2C,D2N,D3C,D3N
0,Nível Territorial (Código),Nível Territorial,Unidade de Medida (Código),Unidade de Medida,Valor,Brasil (Código),Brasil,Trimestre Móvel (Código),Trimestre Móvel,Variável (Código),Variável
1,1,Brasil,2,%,8.0,1,Brasil,201203,jan-fev-mar 2012,4099,"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade"
2,1,Brasil,2,%,0.9,1,Brasil,201203,jan-fev-mar 2012,4103,"Coeficiente de variação - Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade"
3,1,Brasil,,,...,1,Brasil,201203,jan-fev-mar 2012,8811,"Variação em relação a três trimestres móveis anteriores - Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade"
4,1,Brasil,,,...,1,Brasil,201203,jan-fev-mar 2012,8814,"Situação da Variação em relação a três trimestres móveis anteriores - Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade"
5,1,Brasil,,,...,1,Brasil,201203,jan-fev-mar 2012,8816,"Variação em relação ao mesmo trimestre móvel do ano anterior - Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade"
6,1,Brasil,,,...,1,Brasil,201203,jan-fev-mar 2012,8819,"Situação da Variação em relação ao mesmo trimestre móvel do ano anterior - Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade"
7,1,Brasil,2,%,7.8,1,Brasil,201204,fev-mar-abr 2012,4099,"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade"
8,1,Brasil,2,%,1.0,1,Brasil,201204,fev-mar-abr 2012,4103,"Coeficiente de variação - Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade"
9,1,Brasil,,,...,1,Brasil,201204,fev-mar-abr 2012,8811,"Variação em relação a três trimestres móveis anteriores - Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade"
10,1,Brasil,,,...,1,Brasil,201204,fev-mar-abr 2012,8814,"Situação da Variação em relação a três trimestres móveis anteriores - Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade"
11,1,Brasil,,,...,1,Brasil,201204,fev-mar-abr 2012,8816,"Variação em relação ao mesmo trimestre móvel do ano anterior - Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade"
12,1,Brasil,,,...,1,Brasil,201204,fev-mar-abr 2012,8819,"Situação da Variação em relação ao mesmo trimestre móvel do ano anterior - Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade"
13,1,Brasil,2,%,7.7,1,Brasil,201205,mar-abr-mai 2012,4099,"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade"
14,1,Brasil,2,%,1.1,1,Brasil,201205,mar-abr-mai 2012,4103,"Coeficiente de variação - Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade"
15,1,Brasil,,,...,1,Brasil,201205,mar-abr-mai 2012,8811,"Variação em relação a três trimestres móveis anteriores - Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade"
16,1,Brasil,,,...,1,Brasil,201205,mar-abr-mai 2012,8814,"Situação da Variação em relação a três trimestres móveis anteriores - Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade"
17,1,Brasil,,,...,1,Brasil,201205,mar-abr-mai 2012,8816,"Variação em relação ao mesmo trimestre móvel do ano anterior - Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade"
18,1,Brasil,,,...,1,Brasil,201205,mar-abr-mai 2012,8819,"Situação da Variação em relação ao mesmo trimestre móvel do ano anterior - Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade"
19,1,Brasil,2,%,7.6,1,Brasil,201206,abr-mai-jun 2012,4099,"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade"
20,1,Brasil,2,%,1.0,1,Brasil,201206,abr-mai-jun 2012,4103,"Coeficiente de variação - Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade"
21,1,Brasil,1722,Ponto percentual,-0.4,1,Brasil,201206,abr-mai-jun 2012,8811,"Variação em relação a três trimestres móveis anteriores - Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade"
22,1,Brasil,1694,Nenhuma,Z,1,Brasil,201206,abr-mai-jun 2012,8814,"Situação da Variação em relação a três trimestres móveis anteriores - Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade"
23,1,Brasil,,,...,1,Brasil,201206,abr-mai-jun 2012,8816,"Variação em relação ao mesmo trimestre móvel do ano anterior - Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade"
24,1,Brasil,,,...,1,Brasil,201206,abr-mai-jun 2012,8819,"Situação da Variação em relação ao mesmo trimestre móvel do ano anterior - Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade"
25,1,Brasil,2,%,7.5,1,Brasil,201207,mai-jun-jul 2012,4099,"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade"
26,1,Brasil,2,%,1.1,1,Brasil,201207,mai-jun-jul 2012,4103,"Coeficiente de variação - Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade"
27,1,Brasil,1722,Ponto percentual,-0.3,1,Brasil,201207,mai-jun-jul 2012,8811,"Variação em relação a três trimestres móveis anteriores - Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade"
28,1,Brasil,1694,Nenhuma,Z,1,Brasil,201207,mai-jun-jul 2012,8814,"Situação da Variação em relação a três trimestres móveis anteriores - Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade"
29,1,Brasil,,,...,1,Brasil,201207,mai-jun-jul 2012,8816,"Variação em relação ao mesmo trimestre móvel do ano anterior - Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade"
30,1,Brasil,,,...,1,Brasil,201207,mai-jun-jul 2012,8819,"Situação da Variação em relação ao mesmo trimestre móvel do ano anterior - Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade"
31,1,Brasil,2,%,7.4,1,Brasil,201208,jun-jul-ago 2012,4099,"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade"
32,1,Brasil,2,%,1.1,1,Brasil,201208,jun-jul-ago 2012,4103,"Coeficiente de variação - Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade"
33,1,Brasil,1722,Ponto percentual,-0.3,1,Brasil,201208,jun-jul-ago 2012,8811,"Variação em relação a três trimestres móveis anteriores - Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade"
34,1,Brasil,1694,Nenhuma,Z,1,Brasil,201208,jun-jul-ago 2012,8814,"Situação da Variação em relação a três trimestres móveis anteriores - Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade"
35,1,Brasil,,,...,1,Brasil,201208,jun-jul-ago 2012,8816,"Variação em relação ao mesmo trimestre móvel do ano anterior - Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade"
36,1,Brasil,,,...,1,Brasil,201208,jun-jul-ago 2012,8819,"Situação da Variação em relação ao mesmo trimestre móvel do ano anterior - Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade"
37,1,Brasil,2,%,7.1,1,Brasil,201209,jul-ago-set 2012,4099,"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade"
38,1,Brasil,2,%,1.1,1,Brasil,201209,jul-ago-set 2012,4103,"Coeficiente de variação - Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade"
39,1,Brasil,1722,Ponto percentual,-0.5,1,Brasil,201209,jul-ago-set 2012,8811,"Variação em relação a três trimestres móveis anteriores - Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade"
40,1,Brasil,1694,Nenhuma,Z,1,Brasil,201209,jul-ago-set 2012,8814,"Situação da Variação em relação a três trimestres móveis anteriores - Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade"
41,1,Brasil,,,...,1,Brasil,201209,jul-ago-set 2012,8816,"Variação em relação ao mesmo trimestre móvel do ano anterior - Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade"
42,1,Brasil,,,...,1,Brasil,201209,jul-ago-set 2012,8819,"Situação da Variação em relação ao mesmo trimestre móvel do ano anterior - Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade"
43,1,Brasil,2,%,7.0,1,Brasil,201210,ago-set-out 2012,4099,"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade"
44,1,Brasil,2,%,1.2,1,Brasil,201210,ago-set-out 2012,4103,"Coeficiente de variação - Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade"
45,1,Brasil,1722,Ponto percentual,-0.6,1,Brasil,201210,ago-set-out 2012,8811,"Variação em relação a três trimestres móveis anteriores - Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade"
46,1,Brasil,1694,Nenhuma,Z,1,Brasil,201210,ago-set-out 2012,8814,"Situação da Variação em relação a três trimestres móveis anteriores - Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade"
47,1,Brasil,,,...,1,Brasil,201210,ago-set-out 2012,8816,"Variação em relação ao mesmo trimestre móvel do ano anterior - Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade"
48,1,Brasil,,,...,1,Brasil,201210,ago-set-out 2012,8819,"Situação da Variação em relação ao mesmo trimestre móvel do ano anterior - Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade"
49,1,Brasil,2,%,6.8,1,Brasil,201211,set-out-nov 2012,4099,"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade"
50,1,Brasil,2,%,1.2,1,Brasil,201211,set-out-nov 2012,4103,"Coeficiente de variação - Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade"
51,1,Brasil,1722,Ponto percentual,-0.5,1,Brasil,201211,set-out-nov 2012,8811,"Variação em relação a três trimestres móveis anteriores - Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade"
52,1,Brasil,1694,Nenhuma,Z,1,Brasil,201211,set-out-nov 2012,8814,"Situação da Variação em relação a três trimestres móveis anteriores - Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade"
53,1,Brasil,,,...,1,Brasil,201211,set-out-nov 2012,8816,"Variação em relação ao mesmo trimestre móvel do ano anterior - Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade"
54,1,Brasil,,,...,1,Brasil,201211,set-out-nov 2012,8819,"Situação da Variação em relação ao mesmo trimestre móvel do ano anterior - Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade"
55,1,Brasil,2,%,6.9,1,Brasil,201212,out-nov-dez 2012,4099,"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade"
56,1,Brasil,2,%,1.1,1,Brasil,201212,out-nov-dez 2012,4103,"Coeficiente de variação - Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade"
57,1,Brasil,1722,Ponto percentual,-0.2,1,Brasil,201212,out-nov-dez 2012,8811,"Variação em relação a três trimestres móveis anteriores - Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade"
58,1,Brasil,1694,Nenhuma,Z,1,Brasil,201212,out-nov-dez 2012,8814,"Situação da Variação em relação a três trimestres móveis anteriores - Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade"
59,1,Brasil,,,...,1,Brasil,201212,out-nov-dez 2012,8816,"Variação em relação ao mesmo trimestre móvel do ano anterior - Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade"
60,1,Brasil,,,...,1,Brasil,201212,out-nov-dez 2012,8819,"Situação da Variação em relação ao mesmo trimestre móvel do ano anterior - Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade"
61,1,Brasil,2,%,7.3,1,Brasil,201301,nov-dez-jan 2013,4099,"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade"
62,1,Brasil,2,%,1.1,1,Brasil,201301,nov-dez-jan 2013,4103,"Coeficiente de variação - Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade"
63,1,Brasil,1722,Ponto percentual,0.3,1,Brasil,201301,nov-dez-jan 2013,8811,"Variação em relação a três trimestres móveis anteriores - Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade"
64,1,Brasil,1694,Nenhuma,Z,1,Brasil,201301,nov-dez-jan 2013,8814,"Situação da Variação em relação a três trimestres móveis anteriores - Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade"
65,1,Brasil,,,...,1,Brasil,201301,nov-dez-jan 2013,8816,"Variação em relação ao mesmo trimestre móvel do ano anterior - Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade"
66,1,Brasil,,,...,1,Brasil,201301,nov-dez-jan 2013,8819,"Situação da Variação em relação ao mesmo trimestre móvel do ano anterior - Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade"
67,1,Brasil,2,%,7.8,1,Brasil,201302,dez-jan-fev 2013,4099,"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade"
68,1,Brasil,2,%,1.1,1,Brasil,201302,dez-jan-fev 2013,4103,"Coeficiente de variação - Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade"
69,1,Brasil,1722,Ponto percentual,1.0,1,Brasil,201302,dez-jan-fev 2013,8811,"Variação em relação a três trimestres móveis anteriores - Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade"
70,1,Brasil,1694,Nenhuma,Z,1,Brasil,201302,dez-jan-fev 2013,8814,"Situação da Variação em relação a três trimestres móveis anteriores - Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade"
71,1,Brasil,,,...,1,Brasil,201302,dez-jan-fev 2013,8816,"Variação em relação ao mesmo trimestre móvel do ano anterior - Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade"
72,1,Brasil,,,...,1,Brasil,201302,dez-jan-fev 2013,8819,"Situação da Variação em relação ao mesmo trimestre móvel do ano anterior - Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade"
73,1,Brasil,2,%,8.1,1,Brasil,201303,jan-fev-mar 2013,4099,"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade"
74,1,Brasil,2,%,1.0,1,Brasil,201303,jan-fev-mar 2013,4103,"Coeficiente de variação - Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade"
75,1,Brasil,1722,Ponto percentual,1.1,1,Brasil,201303,jan-fev-mar 2013,8811,"Variação em relação a três trimestres móveis anteriores - Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade"
76,1,Brasil,1694,Nenhuma,Z,1,Brasil,201303,jan-fev-mar 2013,8814,"Situação da Variação em relação a três trimestres móveis anteriores - Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade"
77,1,Brasil,1722,Ponto percentual,0.1,1,Brasil,201303,jan-fev-mar 2013,8816,"Variação em relação ao mesmo trimestre móvel do ano anterior - Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade"
78,1,Brasil,1694,Nenhuma,A,1,Brasil,201303,jan-fev-mar 2013,8819,"Situação da Variação em relação ao mesmo trimestre móvel do ano anterior - Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade"
79,1,Brasil,2,%,7.9,1,Brasil,201304,fev-mar-abr 2013,4099,"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade"
80,1,Brasil,2,%,1.1,1,Brasil,201304,fev-mar-abr 2013,4103,"Coeficiente de variação - Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade"
81,1,Brasil,1722,Ponto percentual,0.7,1,Brasil,201304,fev-mar-abr 2013,8811,"Variação em relação a três trimestres móveis anteriores - Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade"
82,1,Brasil,1694,Nenhuma,Z,1,Brasil,201304,fev-mar-abr 2013,8814,"Situação da Variação em relação a três trimestres móveis anteriores - Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade"
83,1,Brasil,1722,Ponto percentual,0.1,1,Brasil,201304,fev-mar-abr 2013,8816,"Variação em relação ao mesmo trimestre móvel do ano anterior - Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade"
84,1,Brasil,1694,Nenhuma,A,1,Brasil,201304,fev-mar-abr 2013,8819,"Situação da Variação em relação ao mesmo trimestre móvel do ano anterior - Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade"
85,1,Brasil,2,%,7.7,1,Brasil,201305,mar-abr-mai 2013,4099,"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade"
86,1,Brasil,2,%,1.0,1,Brasil,201305,mar-abr-mai 2013,4103,"Coeficiente de variação - Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade"
87,1,Brasil,1722,Ponto percentual,-0.1,1,Brasil,201305,mar-abr-mai 2013,8811,"Variação em relação a três trimestres móveis anteriores - Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade"
88,1,Brasil,1694,Nenhuma,A,1,Brasil,201305,mar-abr-mai 2013,8814,"Situação da Variação em relação a três trimestres móveis anteriores - Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade"
