,NC,NN,MC,MN,V,D1C,D1N,D2C,D2N,D3C,D3N,D4C,D4N
0,Nível Territorial (Código),Nível Territorial,Unidade de Medida (Código),Unidade de Medida,Valor,Brasil (Código),Brasil,Posição na ocupação e categoria do emprego no trabalho principal (Código),Posição na ocupação e categoria do emprego no trabalho principal,Trimestre Móvel (Código),Trimestre Móvel,Variável (Código),Variável
1,1,Brasil,1572,Mil pessoas,101331,1,Brasil,96165,Total,202405,mar-abr-mai 2024,4090,Pessoas de 14 anos ou mais de idade ocupadas na semana de referência
2,1,Brasil,2,%,0.2,1,Brasil,96165,Total,202405,mar-abr-mai 2024,4091,Coeficiente de variação - Pessoas de 14 anos ou mais de idade ocupadas na semana de referência
3,1,Brasil,2,%,1.1,1,Brasil,96165,Total,202405,mar-abr-mai 2024,8430,"Variação percentual em relação a três trimestres móveis anteriores - Pessoas de 14 anos ou mais de idade, ocupadas na semana de referência"
4,1,Brasil,1572,Mil pessoas,1081,1,Brasil,96165,Total,202405,mar-abr-mai 2024,8431,"Variação absoluta em relação a três trimestres móveis anteriores - Pessoas de 14 anos ou mais de idade, ocupadas na semana de referência"
5,1,Brasil,1694,Nenhuma,Z,1,Brasil,96165,Total,202405,mar-abr-mai 2024,8434,"Situação da Variação em relação a três trimestres móveis anteriores - Pessoas de 14 anos ou mais de idade, ocupadas na semana de referência"
6,1,Brasil,2,%,3.0,1,Brasil,96165,Total,202405,mar-abr-mai 2024,8435,"Variação percentual em relação ao mesmo trimestre móvel do ano anterior - Pessoas de 14 anos ou mais de idade, ocupadas na semana de referência"
7,1,Brasil,1572,Mil pessoas,2931,1,Brasil,96165,Total,202405,mar-abr-mai 2024,8436,"Variação absoluta em relação ao mesmo trimestre móvel do ano anterior - Pessoas de 14 anos ou mais de idade, ocupadas na semana de referência"
8,1,Brasil,1694,Nenhuma,Z,1,Brasil,96165,Total,202405,mar-abr-mai 2024,8439,"Situação da Variação em relação ao mesmo trimestre móvel do ano anterior - Pessoas de 14 anos ou mais de idade, ocupadas na semana de referência"
9,1,Brasil,1572,Mil pessoas,70353,1,Brasil,96166,Empregado,202405,mar-abr-mai 2024,4090,Pessoas de 14 anos ou mais de idade ocupadas na semana de referência
10,1,Brasil,2,%,0.3,1,Brasil,96166,Empregado,202405,mar-abr-mai 2024,4091,Coeficiente de variação - Pessoas de 14 anos ou mais de idade ocupadas na semana de referência
11,1,Brasil,2,%,1.6,1,Brasil,96166,Empregado,202405,mar-abr-mai 2024,8430,"Variação percentual em relação a três trimestres móveis anteriores - Pessoas de 14 anos ou mais de idade, ocupadas na semana de referência"
12,1,Brasil,1572,Mil pessoas,1134,1,Brasil,96166,Empregado,202405,mar-abr-mai 2024,8431,"Variação absoluta em relação a três trimestres móveis anteriores - Pessoas de 14 anos ou mais de idade, ocupadas na semana de referência"
13,1,Brasil,1694,Nenhuma,Z,1,Brasil,96166,Empregado,202405,mar-abr-mai 2024,8434,"Situação da Variação em relação a três trimestres móveis anteriores - Pessoas de 14 anos ou mais de idade, ocupadas na semana de referência"
14,1,Brasil,2,%,4.1,1,Brasil,96166,Empregado,202405,mar-abr-mai 2024,8435,"Variação percentual em relação ao mesmo trimestre móvel do ano anterior - Pessoas de 14 anos ou mais de idade, ocupadas na semana de referência"
15,1,Brasil,1572,Mil pessoas,2798,1,Brasil,96166,Empregado,202405,mar-abr-mai 2024,8436,"Variação absoluta em relação ao mesmo trimestre móvel do ano anterior - Pessoas de 14 anos ou mais de idade, ocupadas na semana de referência"
16,1,Brasil,1694,Nenhuma,Z,1,Brasil,96166,Empregado,202405,mar-abr-mai 2024,8439,"Situação da Variação em relação ao mesmo trimestre móvel do ano anterior - Pessoas de 14 anos ou mais de idade, ocupadas na semana de referência"
17,1,Brasil,1572,Mil pessoas,51999,1,Brasil,31721,"Empregado no setor privado, exclusive trabalhador doméstico",202405,mar-abr-mai 2024,4090,Pessoas de 14 anos ou mais de idade ocupadas na semana de referência
18,1,Brasil,2,%,0.4,1,Brasil,31721,"Empregado no setor privado, exclusive trabalhador doméstico",202405,mar-abr-mai 2024,4091,Coeficiente de variação - Pessoas de 14 anos ou mais de idade ocupadas na semana de referência
19,1,Brasil,2,%,1.4,1,Brasil,31721,"Empregado no setor privado, exclusive trabalhador doméstico",202405,mar-abr-mai 2024,8430,"Variação percentual em relação a três trimestres móveis anteriores - Pessoas de 14 anos ou mais de idade, ocupadas na semana de referência"
20,1,Brasil,1572,Mil pessoas,714,1,Brasil,31721,"Empregado no setor privado, exclusive trabalhador doméstico",202405,mar-abr-mai 2024,8431,"Variação absoluta em relação a três trimestres móveis anteriores - Pessoas de 14 anos ou mais de idade, ocupadas na semana de referência"
21,1,Brasil,1694,Nenhuma,Z,1,Brasil,31721,"Empregado no setor privado, exclusive trabalhador doméstico",202405,mar-abr-mai 2024,8434,"Situação da Variação em relação a três trimestres móveis anteriores - Pessoas de 14 anos ou mais de idade, ocupadas na semana de referência"
22,1,Brasil,2,%,4.5,1,Brasil,31721,"Empregado no setor privado, exclusive trabalhador doméstico",202405,mar-abr-mai 2024,8435,"Variação percentual em relação ao mesmo trimestre móvel do ano anterior - Pessoas de 14 anos ou mais de idade, ocupadas na semana de referência"
23,1,Brasil,1572,Mil pessoas,2240,1,Brasil,31721,"Empregado no setor privado, exclusive trabalhador doméstico",202405,mar-abr-mai 2024,8436,"Variação absoluta em relação ao mesmo trimestre móvel do ano anterior - Pessoas de 14 anos ou mais de idade, ocupadas na semana de referência"
24,1,Brasil,1694,Nenhuma,Z,1,Brasil,31721,"Empregado no setor privado, exclusive trabalhador doméstico",202405,mar-abr-mai 2024,8439,"Situação da Variação em relação ao mesmo trimestre móvel do ano anterior - Pessoas de 14 anos ou mais de idade, ocupadas na semana de referência"
25,1,Brasil,1572,Mil pessoas,38326,1,Brasil,31722,"Empregado no setor privado, exclusive trabalhador doméstico - com carteira de trabalho assinada",202405,mar-abr-mai 2024,4090,Pessoas de 14 anos ou mais de idade ocupadas na semana de referência
26,1,Brasil,2,%,0.5,1,Brasil,31722,"Empregado no setor privado, exclusive trabalhador doméstico - com carteira de trabalho assinada",202405,mar-abr-mai 2024,4091,Coeficiente de variação - Pessoas de 14 anos ou mais de idade ocupadas na semana de referência
27,1,Brasil,2,%,0.9,1,Brasil,31722,"Empregado no setor privado, exclusive trabalhador doméstico - com carteira de trabalho assinada",202405,mar-abr-mai 2024,8430,"Variação percentual em relação a três trimestres móveis anteriores - Pessoas de 14 anos ou mais de idade, ocupadas na semana de referência"
28,1,Brasil,1572,Mil pessoas,330,1,Brasil,31722,"Empregado no setor privado, exclusive trabalhador doméstico - com carteira de trabalho assinada",202405,mar-abr-mai 2024,8431,"Variação absoluta em relação a três trimestres móveis anteriores - Pessoas de 14 anos ou mais de idade, ocupadas na semana de referência"
29,1,Brasil,1694,Nenhuma,Z,1,Brasil,31722,"Empregado no setor privado, exclusive trabalhador doméstico - com carteira de trabalho assinada",202405,mar-abr-mai 2024,8434,"Situação da Variação em relação a três trimestres móveis anteriores - Pessoas de 14 anos ou mais de idade, ocupadas na semana de referência"
30,1,Brasil,2,%,4.1,1,Brasil,31722,"Empregado no setor privado, exclusive trabalhador doméstico - com carteira de trabalho assinada",202405,mar-abr-mai 2024,8435,"Variação percentual em relação ao mesmo trimestre móvel do ano anterior - Pessoas de 14 anos ou mais de idade, ocupadas na semana de referência"
