,Unnamed: 0,Indicador,IndicadorDetalhe,Data,DataReferencia,Media,Mediana,DesvioPadrao,Minimo,Maximo,numeroRespondentes,baseCalculo
0,0,IPCA,,2018-01-22,2019,4.19,4.25,0.17,3.7,5.0,100.0,0
1,1,IPCA,,2018-01-22,2020,4.06,4.0,0.18,3.5,5.0,90.0,0
2,2,IPCA,,2018-01-22,2021,4.0,4.0,0.21,3.5,5.0,83.0,0
3,3,IPCA,,2018-01-22,2018,3.97,3.95,0.25,3.35,4.82,109.0,0
4,4,IPCA,,2018-01-22,2022,4.01,4.0,0.3,3.25,5.0,30.0,0
5,5,IPCA,,2018-01-23,2020,4.06,4.0,0.18,3.5,5.0,92.0,0
6,6,IPCA,,2018-01-23,2019,4.19,4.25,0.17,3.7,5.0,101.0,0
7,7,IPCA,,2018-01-23,2021,4.0,4.0,0.21,3.5,5.0,84.0,0
8,8,IPCA,,2018-01-23,2018,3.97,3.95,0.25,3.35,4.82,111.0,0
9,9,IPCA,,2018-01-23,2022,4.01,4.0,0.29,3.25,5.0,31.0,0
10,10,IPCA,,2018-01-24,2020,4.06,4.0,0.18,3.5,5.0,92.0,0
11,11,IPCA,,2018-01-24,2019,4.19,4.25,0.17,3.7,5.0,101.0,0
12,12,IPCA,,2018-01-24,2021,4.0,4.0,0.21,3.5,5.0,84.0,0
13,13,IPCA,,2018-01-24,2018,3.97,3.95,0.25,3.35,4.82,111.0,0
14,14,IPCA,,2018-01-24,2022,3.99,4.0,0.3,3.25,5.0,32.0,0
15,15,IPCA,,2018-01-25,2020,4.06,4.0,0.18,3.5,5.0,92.0,0
16,16,IPCA,,2018-01-25,2019,4.19,4.25,0.17,3.7,5.0,101.0,0
17,17,IPCA,,2018-01-25,2021,4.0,4.0,0.21,3.5,5.0,84.0,0
18,18,IPCA,,2018-01-25,2018,3.97,3.95,0.25,3.35,4.82,111.0,0
19,19,IPCA,,2018-01-25,2022,3.99,4.0,0.3,3.25,5.0,32.0,0
20,20,IPCA,,2018-01-26,2020,4.06,4.0,0.18,3.5,5.0,92.0,0
21,21,IPCA,,2018-01-26,2019,4.19,4.25,0.17,3.7,5.0,101.0,0
22,22,IPCA,,2018-01-26,2021,4.0,4.0,0.21,3.5,5.0,85.0,0
23,23,IPCA,,2018-01-26,2018,3.98,3.95,0.25,3.35,4.82,110.0,0
24,24,IPCA,,2018-01-26,2022,3.99,4.0,0.3,3.25,5.0,33.0,0
25,25,IPCA,,2018-01-29,2020,4.06,4.0,0.18,3.5,5.0,90.0,0
26,26,IPCA,,2018-01-29,2019,4.19,4.25,0.17,3.7,5.0,98.0,0
27,27,IPCA,,2018-01-29,2021,4.0,4.0,0.2,3.5,5.0,83.0,0
28,28,IPCA,,2018-01-29,2018,3.98,3.95,0.25,3.35,4.82,107.0,0
29,29,IPCA,,2018-01-29,2022,3.99,4.0,0.29,3.25,5.0,34.0,0
30,30,IPCA,,2018-01-30,2019,4.19,4.25,0.17,3.7,5.0,98.0,0
31,31,IPCA,,2018-01-30,2020,4.06,4.0,0.18,3.5,5.0,90.0,0
32,32,IPCA,,2018-01-30,2021,4.0,4.0,0.2,3.5,5.0,83.0,0
33,33,IPCA,,2018-01-30,2018,3.98,3.95,0.26,3.35,4.82,108.0,0
34,34,IPCA,,2018-01-30,2022,3.99,4.0,0.29,3.25,5.0,34.0,0
35,35,IPCA,,2018-01-31,2019,4.19,4.25,0.17,3.7,5.0,98.0,0
36,36,IPCA,,2018-01-31,2020,4.06,4.0,0.18,3.5,5.0,90.0,0
37,37,IPCA,,2018-01-31,2021,4.0,4.0,0.2,3.5,5.0,83.0,0
38,38,IPCA,,2018-01-31,2018,3.98,3.95,0.26,3.35,4.82,108.0,0
39,39,IPCA,,2018-01-31,2022,3.99,4.0,0.29,3.25,5.0,35.0,0
40,40,IPCA,,2018-02-01,2019,4.19,4.25,0.17,3.7,5.0,98.0,0
41,41,IPCA,,2018-02-01,2020,4.06,4.0,0.18,3.5,5.0,90.0,0
42,42,IPCA,,2018-02-01,2021,4.0,4.0,0.2,3.5,5.0,83.0,0
43,43,IPCA,,2018-02-01,2018,3.98,3.95,0.25,3.47,4.82,108.0,0
44,44,IPCA,,2018-02-01,2022,3.99,4.0,0.29,3.25,5.0,35.0,0
45,45,IPCA,,2018-02-02,2020,4.06,4.0,0.18,3.5,5.0,91.0,0
46,46,IPCA,,2018-02-02,2019,4.19,4.25,0.17,3.7,5.0,100.0,0
47,47,IPCA,,2018-02-02,2021,4.0,4.0,0.2,3.5,5.0,84.0,0
48,48,IPCA,,2018-02-02,2018,3.97,3.94,0.26,3.47,4.82,110.0,0
49,49,IPCA,,2018-02-02,2022,3.98,4.0,0.29,3.25,5.0,37.0,0
50,50,IPCA,,2018-02-05,2019,4.19,4.25,0.17,3.7,5.0,99.0,0
51,51,IPCA,,2018-02-05,2020,4.06,4.0,0.19,3.5,5.0,90.0,0
52,52,IPCA,,2018-02-05,2021,4.01,4.0,0.22,3.5,5.0,83.0,0
53,53,IPCA,,2018-02-05,2018,3.97,3.94,0.26,3.47,4.82,108.0,0
54,54,IPCA,,2018-02-05,2022,4.0,4.0,0.32,3.25,5.0,39.0,0
