,NC,NN,MC,MN,V,D1C,D1N,D2C,D2N,D3C,D3N
0,Nível Territorial (Código),Nível Territorial,Unidade de Medida (Código),Unidade de Medida,Valor,Brasil (Código),Brasil,Mês (Código),Mês,Variável (Código),Variável
1,1,Brasil,2,%,6.51,1,Brasil,201407,julho 2014,1120,IPCA15 - Variação acumulada em 12 meses
2,1,Brasil,2,%,6.49,1,Brasil,201408,agosto 2014,1120,IPCA15 - Variação acumulada em 12 meses
3,1,Brasil,2,%,6.62,1,Brasil,201409,setembro 2014,1120,IPCA15 - Variação acumulada em 12 meses
4,1,Brasil,2,%,6.62,1,Brasil,201410,outubro 2014,1120,IPCA15 - Variação acumulada em 12 meses
5,1,Brasil,2,%,6.42,1,Brasil,201411,novembro 2014,1120,IPCA15 - Variação acumulada em 12 meses
6,1,Brasil,2,%,6.46,1,Brasil,201412,dezembro 2014,1120,IPCA15 - Variação acumulada em 12 meses
7,1,Brasil,2,%,6.69,1,Brasil,201501,janeiro 2015,1120,IPCA15 - Variação acumulada em 12 meses
8,1,Brasil,2,%,7.36,1,Brasil,201502,fevereiro 2015,1120,IPCA15 - Variação acumulada em 12 meses
9,1,Brasil,2,%,7.90,1,Brasil,201503,março 2015,1120,IPCA15 - Variação acumulada em 12 meses
10,1,Brasil,2,%,8.22,1,Brasil,201504,abril 2015,1120,IPCA15 - Variação acumulada em 12 meses
11,1,Brasil,2,%,8.24,1,Brasil,201505,maio 2015,1120,IPCA15 - Variação acumulada em 12 meses
12,1,Brasil,2,%,8.80,1,Brasil,201506,junho 2015,1120,IPCA15 - Variação acumulada em 12 meses
13,1,Brasil,2,%,9.25,1,Brasil,201507,julho 2015,1120,IPCA15 - Variação acumulada em 12 meses
14,1,Brasil,2,%,9.57,1,Brasil,201508,agosto 2015,1120,IPCA15 - Variação acumulada em 12 meses
15,1,Brasil,2,%,9.57,1,Brasil,201509,setembro 2015,1120,IPCA15 - Variação acumulada em 12 meses
16,1,Brasil,2,%,9.77,1,Brasil,201510,outubro 2015,1120,IPCA15 - Variação acumulada em 12 meses
17,1,Brasil,2,%,10.28,1,Brasil,201511,novembro 2015,1120,IPCA15 - Variação acumulada em 12 meses
18,1,Brasil,2,%,10.71,1,Brasil,201512,dezembro 2015,1120,IPCA15 - Variação acumulada em 12 meses
19,1,Brasil,2,%,10.74,1,Brasil,201601,janeiro 2016,1120,IPCA15 - Variação acumulada em 12 meses
20,1,Brasil,2,%,10.84,1,Brasil,201602,fevereiro 2016,1120,IPCA15 - Variação acumulada em 12 meses
21,1,Brasil,2,%,9.95,1,Brasil,201603,março 2016,1120,IPCA15 - Variação acumulada em 12 meses
22,1,Brasil,2,%,9.34,1,Brasil,201604,abril 2016,1120,IPCA15 - Variação acumulada em 12 meses
23,1,Brasil,2,%,9.62,1,Brasil,201605,maio 2016,1120,IPCA15 - Variação acumulada em 12 meses
24,1,Brasil,2,%,8.98,1,Brasil,201606,junho 2016,1120,IPCA15 - Variação acumulada em 12 meses
25,1,Brasil,2,%,8.93,1,Brasil,201607,julho 2016,1120,IPCA15 - Variação acumulada em 12 meses
26,1,Brasil,2,%,8.95,1,Brasil,201608,agosto 2016,1120,IPCA15 - Variação acumulada em 12 meses
27,1,Brasil,2,%,8.78,1,Brasil,201609,setembro 2016,1120,IPCA15 - Variação acumulada em 12 meses
