,NC,NN,MC,MN,V,D1C,D1N,D2C,D2N,D3C,D3N,D4C,D4N
0,Nível Territorial (Código),Nível Territorial,Unidade de Medida (Código),Unidade de Medida,Valor,Região Metropolitana (Código),Região Metropolitana,Mês (Código),Mês,Variável (Código),Variável,"Geral, grupo, subgrupo, item e subitem (Código)","Geral, grupo, subgrupo, item e subitem"
1,7,Região Metropolitana,2,%,0.39,1501,Belém - PA,202001,janeiro 2020,69,IPCA - Variação acumulada no ano,7169,Índice geral
2,7,Região Metropolitana,2,%,0.61,1501,Belém - PA,202002,fevereiro 2020,69,IPCA - Variação acumulada no ano,7169,Índice geral
3,7,Região Metropolitana,2,%,0.44,1501,Belém - PA,202003,março 2020,69,IPCA - Variação acumulada no ano,7169,Índice geral
4,7,Região Metropolitana,2,%,0.31,1501,Belém - PA,202004,abril 2020,69,IPCA - Variação acumulada no ano,7169,Índice geral
5,7,Região Metropolitana,2,%,-0.08,1501,Belém - PA,202005,maio 2020,69,IPCA - Variação acumulada no ano,7169,Índice geral
6,7,Região Metropolitana,2,%,-0.27,1501,Belém - PA,202006,junho 2020,69,IPCA - Variação acumulada no ano,7169,Índice geral
7,7,Região Metropolitana,2,%,0.46,1501,Belém - PA,202007,julho 2020,69,IPCA - Variação acumulada no ano,7169,Índice geral
8,7,Região Metropolitana,2,%,0.42,1501,Belém - PA,202008,agosto 2020,69,IPCA - Variação acumulada no ano,7169,Índice geral
9,7,Região Metropolitana,2,%,1.37,1501,Belém - PA,202009,setembro 2020,69,IPCA - Variação acumulada no ano,7169,Índice geral
10,7,Região Metropolitana,2,%,2.57,1501,Belém - PA,202010,outubro 2020,69,IPCA - Variação acumulada no ano,7169,Índice geral
11,7,Região Metropolitana,2,%,3.07,1501,Belém - PA,202011,novembro 2020,69,IPCA - Variação acumulada no ano,7169,Índice geral
12,7,Região Metropolitana,2,%,4.63,1501,Belém - PA,202012,dezembro 2020,69,IPCA - Variação acumulada no ano,7169,Índice geral
13,7,Região Metropolitana,2,%,-0.03,1501,Belém - PA,202101,janeiro 2021,69,IPCA - Variação acumulada no ano,7169,Índice geral
14,7,Região Metropolitana,2,%,1.37,1501,Belém - PA,202102,fevereiro 2021,69,IPCA - Variação acumulada no ano,7169,Índice geral
15,7,Região Metropolitana,2,%,2.18,1501,Belém - PA,202103,março 2021,69,IPCA - Variação acumulada no ano,7169,Índice geral
16,7,Região Metropolitana,2,%,2.90,1501,Belém - PA,202104,abril 2021,69,IPCA - Variação acumulada no ano,7169,Índice geral
17,7,Região Metropolitana,2,%,3.39,1501,Belém - PA,202105,maio 2021,69,IPCA - Variação acumulada no ano,7169,Índice geral
18,7,Região Metropolitana,2,%,3.63,1501,Belém - PA,202106,junho 2021,69,IPCA - Variação acumulada no ano,7169,Índice geral
19,7,Região Metropolitana,2,%,4.56,1501,Belém - PA,202107,julho 2021,69,IPCA - Variação acumulada no ano,7169,Índice geral
20,7,Região Metropolitana,2,%,5.35,1501,Belém - PA,202108,agosto 2021,69,IPCA - Variação acumulada no ano,7169,Índice geral
21,7,Região Metropolitana,2,%,6.44,1501,Belém - PA,202109,setembro 2021,69,IPCA - Variação acumulada no ano,7169,Índice geral
22,7,Região Metropolitana,2,%,7.12,1501,Belém - PA,202110,outubro 2021,69,IPCA - Variação acumulada no ano,7169,Índice geral
23,7,Região Metropolitana,2,%,7.08,1501,Belém - PA,202111,novembro 2021,69,IPCA - Variação acumulada no ano,7169,Índice geral
24,7,Região Metropolitana,2,%,8.10,1501,Belém - PA,202112,dezembro 2021,69,IPCA - Variação acumulada no ano,7169,Índice geral
25,7,Região Metropolitana,2,%,0.65,1501,Belém - PA,202201,janeiro 2022,69,IPCA - Variação acumulada no ano,7169,Índice geral
26,7,Região Metropolitana,2,%,1.62,1501,Belém - PA,202202,fevereiro 2022,69,IPCA - Variação acumulada no ano,7169,Índice geral
27,7,Região Metropolitana,2,%,3.12,1501,Belém - PA,202203,março 2022,69,IPCA - Variação acumulada no ano,7169,Índice geral
28,7,Região Metropolitana,2,%,4.37,1501,Belém - PA,202204,abril 2022,69,IPCA - Variação acumulada no ano,7169,Índice geral
29,7,Região Metropolitana,2,%,4.75,1501,Belém - PA,202205,maio 2022,69,IPCA - Variação acumulada no ano,7169,Índice geral
30,7,Região Metropolitana,2,%,5.02,1501,Belém - PA,202206,junho 2022,69,IPCA - Variação acumulada no ano,7169,Índice geral
31,7,Região Metropolitana,2,%,3.66,1501,Belém - PA,202207,julho 2022,69,IPCA - Variação acumulada no ano,7169,Índice geral
32,7,Região Metropolitana,2,%,3.84,1501,Belém - PA,202208,agosto 2022,69,IPCA - Variação acumulada no ano,7169,Índice geral
33,7,Região Metropolitana,2,%,3.83,1501,Belém - PA,202209,setembro 2022,69,IPCA - Variação acumulada no ano,7169,Índice geral
34,7,Região Metropolitana,2,%,4.36,1501,Belém - PA,202210,outubro 2022,69,IPCA - Variação acumulada no ano,7169,Índice geral
35,7,Região Metropolitana,2,%,4.46,1501,Belém - PA,202211,novembro 2022,69,IPCA - Variação acumulada no ano,7169,Índice geral
36,7,Região Metropolitana,2,%,5.56,1501,Belém - PA,202212,dezembro 2022,69,IPCA - Variação acumulada no ano,7169,Índice geral
37,7,Região Metropolitana,2,%,0.41,1501,Belém - PA,202301,janeiro 2023,69,IPCA - Variação acumulada no ano,7169,Índice geral
38,7,Região Metropolitana,2,%,1.27,1501,Belém - PA,202302,fevereiro 2023,69,IPCA - Variação acumulada no ano,7169,Índice geral
39,7,Região Metropolitana,2,%,2.12,1501,Belém - PA,202303,março 2023,69,IPCA - Variação acumulada no ano,7169,Índice geral
40,7,Região Metropolitana,2,%,2.69,1501,Belém - PA,202304,abril 2023,69,IPCA - Variação acumulada no ano,7169,Índice geral
41,7,Região Metropolitana,2,%,2.70,1501,Belém - PA,202305,maio 2023,69,IPCA - Variação acumulada no ano,7169,Índice geral
42,7,Região Metropolitana,2,%,2.60,1501,Belém - PA,202306,junho 2023,69,IPCA - Variação acumulada no ano,7169,Índice geral
43,7,Região Metropolitana,2,%,2.87,1501,Belém - PA,202307,julho 2023,69,IPCA - Variação acumulada no ano,7169,Índice geral
44,7,Região Metropolitana,2,%,3.52,1501,Belém - PA,202308,agosto 2023,69,IPCA - Variação acumulada no ano,7169,Índice geral
45,7,Região Metropolitana,2,%,0.28,2301,Fortaleza - CE,202001,janeiro 2020,69,IPCA - Variação acumulada no ano,7169,Índice geral
46,7,Região Metropolitana,2,%,1.08,2301,Fortaleza - CE,202002,fevereiro 2020,69,IPCA - Variação acumulada no ano,7169,Índice geral
47,7,Região Metropolitana,2,%,1.29,2301,Fortaleza - CE,202003,março 2020,69,IPCA - Variação acumulada no ano,7169,Índice geral
48,7,Região Metropolitana,2,%,1.17,2301,Fortaleza - CE,202004,abril 2020,69,IPCA - Variação acumulada no ano,7169,Índice geral
49,7,Região Metropolitana,2,%,0.64,2301,Fortaleza - CE,202005,maio 2020,69,IPCA - Variação acumulada no ano,7169,Índice geral
50,7,Região Metropolitana,2,%,0.98,2301,Fortaleza - CE,202006,junho 2020,69,IPCA - Variação acumulada no ano,7169,Índice geral
51,7,Região Metropolitana,2,%,1.55,2301,Fortaleza - CE,202007,julho 2020,69,IPCA - Variação acumulada no ano,7169,Índice geral
52,7,Região Metropolitana,2,%,1.32,2301,Fortaleza - CE,202008,agosto 2020,69,IPCA - Variação acumulada no ano,7169,Índice geral
53,7,Região Metropolitana,2,%,2.55,2301,Fortaleza - CE,202009,setembro 2020,69,IPCA - Variação acumulada no ano,7169,Índice geral
54,7,Região Metropolitana,2,%,3.40,2301,Fortaleza - CE,202010,outubro 2020,69,IPCA - Variação acumulada no ano,7169,Índice geral
55,7,Região Metropolitana,2,%,4.23,2301,Fortaleza - CE,202011,novembro 2020,69,IPCA - Variação acumulada no ano,7169,Índice geral
56,7,Região Metropolitana,2,%,5.74,2301,Fortaleza - CE,202012,dezembro 2020,69,IPCA - Variação acumulada no ano,7169,Índice geral
57,7,Região Metropolitana,2,%,0.36,2301,Fortaleza - CE,202101,janeiro 2021,69,IPCA - Variação acumulada no ano,7169,Índice geral
58,7,Região Metropolitana,2,%,1.85,2301,Fortaleza - CE,202102,fevereiro 2021,69,IPCA - Variação acumulada no ano,7169,Índice geral
59,7,Região Metropolitana,2,%,2.59,2301,Fortaleza - CE,202103,março 2021,69,IPCA - Variação acumulada no ano,7169,Índice geral
60,7,Região Metropolitana,2,%,3.36,2301,Fortaleza - CE,202104,abril 2021,69,IPCA - Variação acumulada no ano,7169,Índice geral
61,7,Região Metropolitana,2,%,4.50,2301,Fortaleza - CE,202105,maio 2021,69,IPCA - Variação acumulada no ano,7169,Índice geral
62,7,Região Metropolitana,2,%,5.11,2301,Fortaleza - CE,202106,junho 2021,69,IPCA - Variação acumulada no ano,7169,Índice geral
63,7,Região Metropolitana,2,%,6.08,2301,Fortaleza - CE,202107,julho 2021,69,IPCA - Variação acumulada no ano,7169,Índice geral
64,7,Região Metropolitana,2,%,6.54,2301,Fortaleza - CE,202108,agosto 2021,69,IPCA - Variação acumulada no ano,7169,Índice geral
65,7,Região Metropolitana,2,%,7.84,2301,Fortaleza - CE,202109,setembro 2021,69,IPCA - Variação acumulada no ano,7169,Índice geral
66,7,Região Metropolitana,2,%,8.87,2301,Fortaleza - CE,202110,outubro 2021,69,IPCA - Variação acumulada no ano,7169,Índice geral
