Date,m1
2001-12-03,71953220
2001-12-04,73052682
2001-12-05,74071837
2001-12-06,76401845
2001-12-07,77722878
2001-12-10,78989559
2001-12-11,79061486
2001-12-12,79687013
2001-12-13,80455484
2001-12-14,80163200
2001-12-17,80776464
2001-12-18,81549324
2001-12-19,81610188
2001-12-20,83597280
2001-12-21,85265125
2001-12-24,85432800
2001-12-26,85041017
2001-12-27,86414551
2001-12-28,84546320
2001-12-31,85319761
2002-01-02,83353361
2002-01-03,83625638
2002-01-04,82030963
2002-01-07,81495048
2002-01-08,81976583
2002-01-09,81102407
2002-01-10,80999414
2002-01-11,81002704
2002-01-14,80645899
2002-01-15,78109388
2002-01-16,77524130
2002-01-17,76615247
2002-01-18,76778447
2002-01-21,78421082
2002-01-22,77877301
2002-01-23,77292844
2002-01-24,76672464
2002-01-25,76207594
2002-01-28,76724271
2002-01-29,76757169
2002-01-30,76834706
2002-01-31,76291521
2002-02-01,77638074
2002-02-04,76697588
2002-02-05,76267406
2002-02-06,76928750
2002-02-07,77848445
2002-02-08,79216213
2002-02-13,78843995
2002-02-14,78460910
2002-02-15,75885239
2002-02-18,75151704
2002-02-19,74322877
2002-02-20,74702021
2002-02-21,74543484
2002-02-22,74705954
2002-02-25,75085870
2002-02-26,74772185
2002-02-27,74599172
2002-02-28,75679717
2002-03-01,76449427
2002-03-04,75462050
2002-03-05,75463339
2002-03-06,75754363
2002-03-07,76209951
2002-03-08,76693531
2002-03-11,76873476
2002-03-12,76774067
2002-03-13,76047499
2002-03-14,76087057
2002-03-15,74152002
2002-03-18,73590665
2002-03-19,72750294
2002-03-20,73359684
2002-03-21,73553315
2002-03-22,73782373
2002-03-25,74020432
2002-03-26,75353898
2002-03-27,75842745
2002-03-28,74996003
2002-04-01,76501360
2002-04-02,75092736
2002-04-03,73877668
2002-04-04,75100456
2002-04-05,75895212
2002-04-08,75738827
2002-04-09,75608455
2002-04-10,75665809
2002-04-11,75924887
2002-04-12,76419820
2002-04-15,73574228
2002-04-16,74049086
2002-04-17,72753844
2002-04-18,72487903
2002-04-19,73820078
2002-04-22,74728136
2002-04-23,74424790
2002-04-24,74608780
2002-04-25,74829143
2002-04-26,75411867
2002-04-29,75587656
2002-04-30,76628516
2002-05-02,75385459
2002-05-03,75605584
2002-05-06,75076575
2002-05-07,75287828
2002-05-08,76190439
2002-05-09,75837346
2002-05-10,77032273
2002-05-13,76665716
2002-05-14,76860019
2002-05-15,74370216
2002-05-16,74226526
2002-05-17,74072820
2002-05-20,74710361
2002-05-21,75144754
2002-05-22,74928791
2002-05-23,75719877
2002-05-24,75702375
2002-05-27,75932272
2002-05-28,75595983
2002-05-29,76308837
2002-05-31,75674168
2002-06-03,77309690
2002-06-04,79055998
2002-06-05,78494919
2002-06-06,80575763
2002-06-07,80828403
2002-06-10,80899324
2002-06-11,81892054
2002-06-12,82251655
2002-06-13,81757253
2002-06-14,80564383
2002-06-17,80430446
2002-06-18,80383660
2002-06-19,78942076
2002-06-20,79185020
2002-06-21,80156463
2002-06-24,80564485
2002-06-25,81157028
2002-06-26,81002023
2002-06-27,81436842
2002-06-28,81748036
2002-07-01,85735771
2002-07-02,84554465
2002-07-03,82988606
2002-07-04,84238205
2002-07-05,85248431
2002-07-08,85714271
2002-07-09,85431122
2002-07-10,86151658
2002-07-11,85914502
2002-07-12,86401050
2002-07-15,83446316
2002-07-16,83440946
2002-07-17,82896911
2002-07-18,82441599
2002-07-19,82790080
2002-07-22,83482140
2002-07-23,83166072
2002-07-24,83419969
2002-07-25,83702798
2002-07-26,83280473
2002-07-29,83831201
2002-07-30,85046085
2002-07-31,85044651
2002-08-01,86793706
2002-08-02,85489251
2002-08-05,85857928
2002-08-06,87160451
2002-08-07,87360026
2002-08-08,87476862
2002-08-09,87810385
2002-08-12,88434552
2002-08-13,88623598
2002-08-14,88971568
2002-08-15,86712892
2002-08-16,86916513
2002-08-19,86130229
2002-08-20,86731112
2002-08-21,86745377
2002-08-22,86656814
2002-08-23,86292436
2002-08-26,86235387
2002-08-27,85977347
2002-08-28,86200783
2002-08-29,86660426
2002-08-30,87907547
2002-09-02,87567456
2002-09-03,89036757
2002-09-04,88336022
2002-09-05,90299092
2002-09-06,90924283
2002-09-09,90663948
2002-09-10,90637071
2002-09-11,90726911
2002-09-12,91275395
2002-09-13,88693307
2002-09-16,88571932
2002-09-17,88725181
2002-09-18,87646741
2002-09-19,87833484
2002-09-20,88385121
2002-09-23,89074558
2002-09-24,89568206
2002-09-25,90189712
2002-09-26,90857287
2002-09-27,91164824
2002-09-30,90734433
2002-10-01,93688580
2002-10-02,91986355
2002-10-03,92181192
2002-10-04,93116355
2002-10-07,93479408
2002-10-08,94155599
2002-10-09,93628057
2002-10-10,94434851
2002-10-11,94729037
2002-10-14,95415224
2002-10-15,92338092
2002-10-16,92083802
2002-10-17,91838744
2002-10-18,91665888
2002-10-21,92034680
2002-10-22,92093780
2002-10-23,91849431
2002-10-24,91564352
2002-10-25,91443601
2002-10-28,91434028
2002-10-29,91862353
2002-10-30,92748525
2002-10-31,91473169
2002-11-01,94077537
2002-11-04,91790553
2002-11-05,92736839
2002-11-06,93322595
2002-11-07,93858062
2002-11-08,94655898
2002-11-11,94465397
2002-11-12,95309416
2002-11-13,95860441
2002-11-14,93329047
2002-11-18,93369009
2002-11-19,93071226
2002-11-20,93124491
2002-11-21,94140249
2002-11-22,93896383
2002-11-25,93474233
2002-11-26,94506855
2002-11-27,94655103
2002-11-28,95203853
2002-11-29,94597962
2002-12-02,96727599
2002-12-03,98844028
2002-12-04,98375887
2002-12-05,99767704
2002-12-06,101188568
2002-12-09,101682659
2002-12-10,102912499
2002-12-11,104022217
2002-12-12,105712399
2002-12-13,104379673
2002-12-16,104596238
2002-12-17,105127813
2002-12-18,105512626
2002-12-19,106819674
2002-12-20,108314583
2002-12-23,108742470
2002-12-24,110402310
2002-12-26,108303503
2002-12-27,108899948
2002-12-30,110050917
2002-12-31,110334243
2003-01-02,109017299
2003-01-03,108378636
2003-01-06,106428162
2003-01-07,105337938
2003-01-08,104771989
2003-01-09,104159847
2003-01-10,103668776
2003-01-13,103589090
2003-01-14,104446280
2003-01-15,100022047
2003-01-16,99974563
2003-01-17,98645130
2003-01-20,99160388
2003-01-21,99658383
2003-01-22,99022711
2003-01-23,98384371
2003-01-24,97859864
2003-01-27,97497029
2003-01-28,97282560
2003-01-29,97401691
2003-01-30,97703554
2003-01-31,94977783
2003-02-03,94841214
2003-02-04,95948252
2003-02-05,95089706
2003-02-06,95689602
2003-02-07,96060138
2003-02-10,96835744
2003-02-11,97475539
2003-02-12,96464836
2003-02-13,95638752
2003-02-14,93682380
2003-02-17,93798254
2003-02-18,93393838
2003-02-19,92375312
2003-02-20,92788813
2003-02-21,92927148
2003-02-24,93180819
2003-02-25,93180357
2003-02-26,93493406
2003-02-27,94344900
2003-02-28,93602937
2003-03-05,95883028
2003-03-06,96575595
2003-03-07,95122419
2003-03-10,94591496
2003-03-11,95065701
2003-03-12,94929436
2003-03-13,94059794
2003-03-14,91178790
2003-03-17,91064825
2003-03-18,91203606
2003-03-19,90611747
2003-03-20,90351841
2003-03-21,90421482
2003-03-24,89939281
2003-03-25,89590277
2003-03-26,89428859
2003-03-27,90099861
2003-03-28,90504570
2003-03-31,89822584
2003-04-01,92415467
2003-04-02,90189191
2003-04-03,89868111
2003-04-04,90450374
2003-04-07,91203435
2003-04-08,91835584
2003-04-09,91287699
2003-04-10,91320058
2003-04-11,92057449
2003-04-14,92840304
2003-04-15,89169836
2003-04-16,89607078
2003-04-17,90300190
2003-04-22,90880231
2003-04-23,89538128
2003-04-24,89491291
2003-04-25,88846163
2003-04-28,89015502
2003-04-29,90171112
2003-04-30,87410599
2003-05-02,88019717
2003-05-05,89421048
2003-05-06,89598309
2003-05-07,88606180
2003-05-08,89699809
2003-05-09,89857270
2003-05-12,89542562
2003-05-13,90153296
2003-05-14,90152287
2003-05-15,87680626
2003-05-16,87918963
2003-05-19,87482379
2003-05-20,87678706
2003-05-21,86808110
2003-05-22,86410220
2003-05-23,86056872
2003-05-26,85840375
2003-05-27,86334418
2003-05-28,86635776
2003-05-29,87592234
2003-05-30,86231763
2003-06-02,87380564
2003-06-03,88014222
2003-06-04,87276822
2003-06-05,88167101
2003-06-06,89388734
2003-06-09,91160170
2003-06-10,92351498
2003-06-11,92096940
2003-06-12,90206022
2003-06-13,87741728
2003-06-16,87380597
2003-06-17,87016754
2003-06-18,86625954
2003-06-20,87117160
2003-06-23,86767980
2003-06-24,86634801
2003-06-25,86309493
2003-06-26,87090634
2003-06-27,87587478
2003-06-30,88466315
2003-07-01,91597522
2003-07-02,88899776
2003-07-03,88970077
2003-07-04,90289436
2003-07-07,90705713
2003-07-08,90967983
2003-07-09,90710607
2003-07-10,90663520
2003-07-11,91241272
2003-07-14,91784514
2003-07-15,88215214
2003-07-16,87687110
2003-07-17,87417689
2003-07-18,87463371
2003-07-21,87750283
2003-07-22,87650375
2003-07-23,87078471
2003-07-24,87127206
2003-07-25,86884263
2003-07-28,87075980
2003-07-29,88015308
2003-07-30,88685034
2003-07-31,87050128
2003-08-01,89840179
2003-08-04,88529294
2003-08-05,88489141
2003-08-06,89325156
2003-08-07,89784363
2003-08-08,90676811
2003-08-11,90216503
2003-08-12,91544023
2003-08-13,90864235
2003-08-14,91572060
2003-08-15,87794288
2003-08-18,88065348
2003-08-19,87513004
2003-08-20,87822662
2003-08-21,87649672
2003-08-22,87255880
2003-08-25,86868756
2003-08-26,86894608
2003-08-27,87460180
2003-08-28,87753907
2003-08-29,87318737
2003-09-01,90553338
2003-09-02,88895802
2003-09-03,88394746
2003-09-04,89501156
2003-09-05,89843881
2003-09-08,90786580
2003-09-09,91309140
2003-09-10,90849786
2003-09-11,91812515
2003-09-12,91972313
2003-09-15,88727316
2003-09-16,88700004
2003-09-17,87922498
2003-09-18,87590945
2003-09-19,87219582
2003-09-22,88398615
2003-09-23,88339755
2003-09-24,88028250
2003-09-25,87870574
2003-09-26,88321936
2003-09-29,89219566
2003-09-30,88450654
2003-10-01,91603940
2003-10-02,89321592
2003-10-03,89606788
2003-10-06,90720454
2003-10-07,91944599
2003-10-08,91169058
2003-10-09,91412660
2003-10-10,91550310
2003-10-13,92509270
2003-10-14,93752851
2003-10-15,88867564
2003-10-16,89158375
2003-10-17,88942286
2003-10-20,88706030
2003-10-21,89473487
2003-10-22,89253161
2003-10-23,89173759
2003-10-24,89353304
2003-10-27,89459905
2003-10-28,89791882
2003-10-29,90141337
2003-10-30,91214010
2003-10-31,88533279
2003-11-03,89242844
2003-11-04,90743695
2003-11-05,90160913
2003-11-06,91817360
2003-11-07,93299152
2003-11-10,93484843
2003-11-11,94714327
2003-11-12,95401744
2003-11-13,95681403
2003-11-14,92613294
2003-11-17,93423574
2003-11-18,93224984
2003-11-19,92318465
2003-11-20,92993120
2003-11-21,92991561
2003-11-24,93008038
2003-11-25,93319991
2003-11-26,95255727
2003-11-27,95413051
2003-11-28,95230124
2003-12-01,99811432
2003-12-02,99426096
2003-12-03,99605393
2003-12-04,101259491
2003-12-05,102659832
2003-12-08,104900628
2003-12-09,105952179
2003-12-10,107207571
2003-12-11,108657701
2003-12-12,110468147
2003-12-15,107317352
2003-12-16,108170834
2003-12-17,108922294
2003-12-18,110371206
2003-12-19,111317900
2003-12-22,113155189
2003-12-23,114787055
2003-12-24,113297799
2003-12-26,112811948
2003-12-29,112087291
2003-12-30,111258771
2003-12-31,112765870
2004-01-02,111428371
2004-01-05,111421043
2004-01-06,110242727
2004-01-07,108227255
2004-01-08,108941743
2004-01-09,108583389
2004-01-12,108086907
2004-01-13,109179043
2004-01-14,108446541
2004-01-15,104238826
2004-01-16,104169079
2004-01-19,103098424
2004-01-20,103590197
2004-01-21,104008727
2004-01-22,103722624
2004-01-23,103082845
2004-01-26,102318197
2004-01-27,102573791
2004-01-28,102807307
2004-01-29,103986140
2004-01-30,101206857
2004-02-02,102180299
2004-02-03,103123320
2004-02-04,102311323
2004-02-05,103201854
2004-02-06,103956835
2004-02-09,104037079
2004-02-10,105362779
2004-02-11,105540884
2004-02-12,105361030
2004-02-13,103586853
2004-02-16,102365182
2004-02-17,102303387
2004-02-18,101749799
2004-02-19,102274819
2004-02-20,104298936
2004-02-25,104460855
2004-02-26,106075065
2004-02-27,102857652
2004-03-01,105763623
2004-03-02,103252965
2004-03-03,102371689
2004-03-04,103298483
2004-03-05,104141108
2004-03-08,104346233
2004-03-09,104199039
2004-03-10,104610981
2004-03-11,105193937
2004-03-12,105907413
2004-03-15,102292198
2004-03-16,102194493
2004-03-17,100830216
2004-03-18,100441642
2004-03-19,100285823
2004-03-22,101063183
2004-03-23,101129873
2004-03-24,100954064
2004-03-25,99728511
2004-03-26,100043379
2004-03-29,100796825
2004-03-30,102139249
2004-03-31,101282219
2004-04-01,104268389
2004-04-02,103003271
2004-04-05,104000074
2004-04-06,106570549
2004-04-07,108043674
2004-04-08,108469819
2004-04-12,106277453
2004-04-13,107648581
2004-04-14,107074369
2004-04-15,101880612
2004-04-16,101711344
2004-04-19,101270010
2004-04-20,102622857
2004-04-22,103164329
2004-04-23,102260728
2004-04-26,101893207
2004-04-27,102467679
2004-04-28,103062259
2004-04-29,104297435
2004-04-30,101821601
2004-05-03,101009230
2004-05-04,103061071
2004-05-05,103761861
2004-05-06,106083565
2004-05-07,108183384
2004-05-10,108419611
2004-05-11,108660468
2004-05-12,108592625
2004-05-13,107757085
2004-05-14,103925929
2004-05-17,102764384
2004-05-18,102407258
2004-05-19,101832930
2004-05-20,103605650
2004-05-21,103342515
2004-05-24,103223601
2004-05-25,102920658
2004-05-26,102607026
2004-05-27,103175830
2004-05-28,103577337
2004-05-31,103074482
2004-06-01,107233952
2004-06-02,105193468
2004-06-03,106530989
2004-06-04,108007622
2004-06-07,109805549
2004-06-08,110101488
2004-06-09,108788219
2004-06-11,108285786
2004-06-14,108363618
2004-06-15,104530041
2004-06-16,104022056
2004-06-17,103455536
2004-06-18,103340552
2004-06-21,103889929
2004-06-22,104226247
2004-06-23,102717794
2004-06-24,103095772
2004-06-25,102928534
2004-06-28,104456117
2004-06-29,105687053
2004-06-30,104182650
2004-07-01,108577051
2004-07-02,107510184
2004-07-05,108523306
2004-07-06,110291137
2004-07-07,111467804
2004-07-08,111643910
2004-07-09,112121548
2004-07-12,110992207
2004-07-13,111664075
2004-07-14,111272413
2004-07-15,107104906
2004-07-16,106672230
2004-07-19,106472605
2004-07-20,106682067
2004-07-21,106946661
2004-07-22,106629641
2004-07-23,105780510
2004-07-26,105512026
2004-07-27,105607925
2004-07-28,106625783
2004-07-29,107693188
2004-07-30,104856804
2004-08-02,107001398
2004-08-03,108756061
2004-08-04,109131338
2004-08-05,110907892
2004-08-06,112984511
2004-08-09,111395763
2004-08-10,111147018
2004-08-11,110543989
2004-08-12,110091209
2004-08-13,107455207
2004-08-16,107209288
2004-08-17,106848303
2004-08-18,105887653
2004-08-19,105342586
2004-08-20,104743250
2004-08-23,105362407
2004-08-24,106253427
2004-08-25,105527945
2004-08-26,106059142
2004-08-27,106522061
2004-08-30,107366126
2004-08-31,107417168
2004-09-01,110991914
2004-09-02,110240271
2004-09-03,111725355
2004-09-06,112385672
2004-09-08,115051848
2004-09-09,114922956
2004-09-10,114267177
2004-09-13,113376006
2004-09-14,113131343
2004-09-15,108642987
2004-09-16,109376691
2004-09-17,108989272
2004-09-20,108693895
2004-09-21,109699676
2004-09-22,110464493
2004-09-23,109992780
2004-09-24,110199482
2004-09-27,110613545
2004-09-28,111803274
2004-09-29,111816805
2004-09-30,111720476
2004-10-01,116193826
2004-10-04,115187988
2004-10-05,116291900
2004-10-06,118178086
2004-10-07,119702247
2004-10-08,119420987
2004-10-11,116904783
2004-10-13,116654299
2004-10-14,116984083
2004-10-15,112740344
2004-10-18,112558361
2004-10-19,112607821
2004-10-20,111838274
2004-10-21,113258079
2004-10-22,113142669
2004-10-25,112964348
2004-10-26,113190051
2004-10-27,113732582
2004-10-28,116599025
2004-10-29,111602434
2004-11-01,116191077
2004-11-03,114495531
2004-11-04,115072549
2004-11-05,115475848
2004-11-08,117891861
2004-11-09,117723108
2004-11-10,117085257
2004-11-11,117240733
2004-11-12,113513255
2004-11-16,112775344
2004-11-17,112372878
2004-11-18,112061552
2004-11-19,112148402
2004-11-22,113361813
2004-11-23,113958281
2004-11-24,114083006
2004-11-25,114550820
2004-11-26,115522328
2004-11-29,117077347
2004-11-30,115140420
2004-12-01,122882294
2004-12-02,122002009
2004-12-03,123852621
2004-12-06,126931160
2004-12-07,130660935
2004-12-08,130142865
2004-12-09,130344122
2004-12-10,129476501
2004-12-13,129437859
2004-12-14,129892897
2004-12-15,126128337
2004-12-16,127104390
2004-12-17,128866835
2004-12-20,130087224
2004-12-21,130410739
2004-12-22,130910015
2004-12-23,131201121
2004-12-24,131932291
2004-12-27,130759168
2004-12-28,130750973
2004-12-29,130799834
2004-12-30,129148697
2004-12-31,129659697
2005-01-03,130247545
2005-01-04,131644445
2005-01-05,130828554
2005-01-06,132107934
2005-01-07,132465612
2005-01-10,131449478
2005-01-11,130968347
2005-01-12,129879557
2005-01-13,128908315
2005-01-14,124460106
2005-01-17,123056616
2005-01-18,122055504
2005-01-19,121285217
2005-01-20,121923460
2005-01-21,122363831
2005-01-24,123147645
2005-01-25,122163929
2005-01-26,121793907
2005-01-27,122662384
2005-01-28,123186729
2005-01-31,120494681
2005-02-01,124904618
2005-02-02,122810668
2005-02-03,123937300
2005-02-04,125402505
2005-02-09,127486869
2005-02-10,127316925
2005-02-11,126298577
2005-02-14,125818319
2005-02-15,120449775
2005-02-16,120079898
2005-02-17,119165135
2005-02-18,118591276
2005-02-21,119812403
2005-02-22,120123678
2005-02-23,119677027
2005-02-24,121286111
2005-02-25,120825585
2005-02-28,119527456
2005-03-01,124432497
2005-03-02,121566829
2005-03-03,122643926
2005-03-04,124707179
2005-03-07,126902534
2005-03-08,127260163
2005-03-09,125711033
2005-03-10,124425828
2005-03-11,124220119
2005-03-14,124216998
2005-03-15,119944408
2005-03-16,119237003
2005-03-17,118353422
2005-03-18,118548900
2005-03-21,119847416
2005-03-22,118951167
2005-03-23,118457540
2005-03-24,118130540
2005-03-28,117627860
2005-03-29,119652060
2005-03-30,120039161
2005-03-31,118560874
2005-04-01,121226646
2005-04-04,120528406
2005-04-05,121234471
2005-04-06,122430754
2005-04-07,124095782
2005-04-08,124121744
2005-04-11,121068193
2005-04-12,121903802
2005-04-13,121396871
2005-04-14,121497816
2005-04-15,115356435
2005-04-18,116652193
2005-04-19,117187034
2005-04-20,116459153
2005-04-22,117473365
2005-04-25,117348189
2005-04-26,118067185
2005-04-27,117850195
2005-04-28,118343697
2005-04-29,115498041
2005-05-02,117195568
2005-05-03,119207229
2005-05-04,119054077
2005-05-05,120908431
2005-05-06,123453101
2005-05-09,122753729
2005-05-10,122093460
2005-05-11,121720334
2005-05-12,121288815
2005-05-13,117460071
2005-05-16,115991015
2005-05-17,115420505
2005-05-18,115115012
2005-05-19,114730491
2005-05-20,114257781
2005-05-23,115023609
2005-05-24,115795000
2005-05-25,115881043
2005-05-27,116626797
2005-05-30,118871737
2005-05-31,117556869
2005-06-01,121403919
2005-06-02,119598940
2005-06-03,120935017
2005-06-06,122243742
2005-06-07,125774902
2005-06-08,124840532
2005-06-09,124475257
2005-06-10,122967555
2005-06-13,123611089
2005-06-14,123295645
2005-06-15,117446102
2005-06-16,117298240
2005-06-17,116635389
2005-06-20,117248110
2005-06-21,117931058
2005-06-22,117297415
2005-06-23,117279379
2005-06-24,116826997
2005-06-27,116911506
2005-06-28,118361956
2005-06-29,119334744
2005-06-30,118793487
2005-07-01,124859842
2005-07-04,123591476
2005-07-05,124845958
2005-07-06,126183603
2005-07-07,128123485
2005-07-08,127354226
2005-07-11,124653794
2005-07-12,125223614
2005-07-13,124200912
2005-07-14,124490466
2005-07-15,119599356
2005-07-18,119147004
2005-07-19,118768546
2005-07-20,118639799
2005-07-21,119361642
2005-07-22,119609520
2005-07-25,118815907
2005-07-26,120554096
2005-07-27,120743274
2005-07-28,121375780
2005-07-29,118562751
2005-08-01,123349192
2005-08-02,122062067
2005-08-03,122154400
2005-08-04,124526957
2005-08-05,127244586
2005-08-08,127277746
2005-08-09,126861724
2005-08-10,125233853
2005-08-11,125855968
2005-08-12,125251044
2005-08-15,119922064
2005-08-16,119518732
2005-08-17,118666037
2005-08-18,118038794
2005-08-19,117975789
2005-08-22,119346877
2005-08-23,119711895
2005-08-24,119921254
2005-08-25,120035314
2005-08-26,119861856
2005-08-29,120310989
2005-08-30,122350534
2005-08-31,118761803
2005-09-01,123969884
2005-09-02,123969884
2005-09-05,123969884
2005-09-06,123969884
2005-09-08,123969884
2005-09-09,123969884
2005-09-12,123969884
2005-09-13,123969884
2005-09-14,123969884
2005-09-15,123969884
2005-09-16,123969884
2005-09-19,123969884
2005-09-20,123969884
2005-09-21,123969884
2005-09-22,123969884
2005-09-23,123969884
2005-09-26,123969884
2005-09-27,123969884
2005-09-28,123969884
2005-09-29,123969884
2005-09-30,123969884
2005-10-03,121190991
2005-10-04,124026207
2005-10-05,125097556
2005-10-06,128475276
2005-10-07,129292107
2005-10-10,127451616
2005-10-11,128553751
2005-10-13,127274668
2005-10-14,122917038
2005-10-17,122390262
2005-10-18,120735410
2005-10-19,120541228
2005-10-20,121239940
2005-10-21,122652692
2005-10-24,121471236
2005-10-25,121851632
2005-10-26,123185846
2005-10-27,125197109
2005-10-28,126628491
2005-10-31,121587677
2005-11-01,125772123
2005-11-03,124084132
2005-11-04,125549584
2005-11-07,126789371
2005-11-08,130409560
2005-11-09,129747760
2005-11-10,128494042
2005-11-11,129521277
2005-11-14,125454944
2005-11-16,123277567
2005-11-17,123199862
2005-11-18,123859055
2005-11-21,123807706
2005-11-22,125593277
2005-11-23,125590214
2005-11-24,125775196
2005-11-25,125765854
2005-11-28,127405120
2005-11-29,129277659
2005-11-30,128417217
2005-12-01,135227370
2005-12-02,135449503
2005-12-05,136995885
2005-12-06,142305197
2005-12-07,145047095
2005-12-08,145418990
2005-12-09,146264325
2005-12-12,144498681
2005-12-13,146607647
2005-12-14,147345446
2005-12-15,140845918
2005-12-16,143216606
2005-12-19,145127877
2005-12-20,145614801
2005-12-21,147326217
2005-12-22,148137998
2005-12-23,147573531
2005-12-26,146566990
2005-12-27,147203191
2005-12-28,148574294
2005-12-29,145103419
2005-12-30,146745131
2006-01-02,146477248
2006-01-03,147705764
2006-01-04,145947613
2006-01-05,146948036
2006-01-06,147851937
2006-01-09,146112781
2006-01-10,145863388
2006-01-11,144710844
2006-01-12,143275320
2006-01-13,138084164
2006-01-16,135999941
2006-01-17,135912537
2006-01-18,135035612
2006-01-19,135114339
2006-01-20,135027931
2006-01-23,136529688
2006-01-24,136037822
2006-01-25,134875598
2006-01-26,135294035
2006-01-27,135456113
2006-01-30,135785149
2006-01-31,131864737
2006-02-01,135821524
2006-02-02,133845475
2006-02-03,135107013
2006-02-06,136815272
2006-02-07,138904281
2006-02-08,138588866
2006-02-09,137698371
2006-02-10,136155284
2006-02-13,135645144
2006-02-14,135982531
2006-02-15,128317477
2006-02-16,128722189
2006-02-17,128417860
2006-02-20,128265746
2006-02-21,130079714
2006-02-22,132145915
2006-02-23,132856919
2006-02-24,133094132
2006-03-01,137374642
2006-03-02,135770354
2006-03-03,136362702
2006-03-06,137378321
2006-03-07,140647583
2006-03-08,141489668
2006-03-09,140931784
2006-03-10,138455073
2006-03-13,138344348
2006-03-14,137736792
2006-03-15,130601619
2006-03-16,130192135
2006-03-17,129735627
2006-03-20,129653145
2006-03-21,131435014
2006-03-22,128876022
2006-03-23,129376708
2006-03-24,129576336
2006-03-27,130465269
