data,Alimentação e bebidas,Habitação,Artigos de residência,Vestuário,Transportes,Saúde,Despesas Pessoais,Educação,Comunicação
2021-01-01,1.02,-1.07,0.86,-0.07,0.41,0.32,0.39,0.13,0.02
2021-02-01,0.27,0.4,0.66,0.38,2.28,0.62,0.17,2.48,-0.13
2021-03-01,0.13,0.81,0.69,0.29,3.81,-0.02,0.04,-0.52,-0.07
2021-04-01,0.4,0.22,0.57,0.47,-0.08,1.19,0.01,0.04,0.08
2021-05-01,0.44,1.78,1.25,0.92,1.15,0.76,0.21,0.06,0.21
2021-06-01,0.43,1.1,1.09,1.21,0.41,0.51,0.29,0.05,-0.12
2021-07-01,0.6,3.1,0.78,0.53,1.52,-0.65,0.45,0.18,0.12
2021-08-01,1.39,0.68,0.99,1.02,1.46,-0.04,0.64,0.28,0.23
2021-09-01,1.02,2.56,0.9,0.31,1.82,0.39,0.56,-0.01,0.07
2021-10-01,1.17,1.04,1.27,1.8,2.62,0.39,0.75,0.06,0.54
2021-11-01,-0.04,1.03,1.03,0.95,3.35,-0.57,0.57,0.02,0.09
2021-12-01,0.84,0.74,1.37,2.06,0.58,0.75,0.56,0.05,0.34
2022-01-01,1.11,0.16,1.82,1.07,-0.11,0.36,0.78,0.25,1.05
2022-02-01,1.28,0.54,1.76,0.88,0.46,0.47,0.64,5.61,0.29
2022-03-01,2.42,1.15,0.57,1.82,3.02,0.88,0.59,0.15,-0.05
2022-04-01,2.06,-1.14,1.53,1.26,1.91,1.77,0.48,0.06,0.08
2022-05-01,0.48,-1.7,0.66,2.11,1.34,1.01,0.52,0.04,0.72
2022-06-01,0.8,0.41,0.55,1.67,0.57,1.24,0.49,0.09,0.16
2022-07-01,1.3,-1.05,0.12,0.58,-4.51,0.49,1.13,0.06,0.07
2022-08-01,0.24,0.1,0.42,1.69,-3.37,1.31,0.54,0.61,-1.1
2022-09-01,-0.51,0.6,-0.13,1.77,-1.98,0.57,0.95,0.12,-2.08
2022-10-01,0.72,0.34,0.39,1.22,0.58,1.16,0.57,0.18,-0.48
2022-11-01,0.53,0.51,-0.68,1.1,0.83,0.02,0.21,0.02,-0.14
2022-12-01,0.66,0.2,0.64,1.52,0.21,1.6,0.62,0.19,0.5
2023-01-01,0.59,0.33,0.7,-0.27,0.55,0.16,0.76,0.36,2.09
2023-02-01,0.16,0.82,0.11,-0.24,0.37,1.26,0.44,6.28,0.98
2023-03-01,0.05,0.57,-0.27,0.31,2.11,0.82,0.38,0.1,0.5
2023-04-01,0.71,0.48,0.17,0.79,0.56,1.49,0.18,0.09,0.08
2023-05-01,0.16,0.67,-0.23,0.47,-0.57,0.93,0.64,0.05,0.21
2023-06-01,-0.66,0.69,-0.42,0.35,-0.41,0.11,0.36,0.06,-0.14
2023-07-01,-0.46,-1.01,0.04,-0.24,1.5,0.26,0.38,0.13,0.0
2023-08-01,-0.85,1.11,-0.04,0.54,0.34,0.58,0.38,0.69,-0.09
2023-09-01,-0.71,0.47,-0.58,0.38,1.4,0.04,0.45,0.05,-0.11
2023-10-01,0.31,0.02,0.46,0.45,0.35,0.32,0.27,0.05,-0.19
2023-11-01,0.63,0.48,-0.42,-0.35,0.27,0.08,0.58,0.02,-0.5
2023-12-01,1.11,0.34,0.76,0.7,0.48,0.35,0.48,0.24,0.04
2024-01-01,1.38,0.25,0.22,0.14,-0.65,0.83,0.82,0.33,-0.08
2024-02-01,0.95,0.27,-0.07,-0.44,0.72,0.65,0.05,4.98,1.56
2024-03-01,0.53,0.19,-0.04,0.03,-0.33,0.43,0.33,0.14,-0.13
2024-04-01,0.7,-0.01,-0.26,0.55,0.14,1.16,0.1,0.05,0.48
2024-05-01,0.62,0.67,-0.53,0.5,0.44,0.69,0.22,0.09,0.14
