,Unnamed: 0,NC,NN,MC,MN,V,D1C,D1N,D2C,D2N,D3C,D3N
68,68,1,Brasil,2,%,4.34,1,Brasil,202001,2020-01,1120,IPCA15 - Variação acumulada em 12 meses
69,69,1,Brasil,2,%,4.21,1,Brasil,202002,2020-02,1120,IPCA15 - Variação acumulada em 12 meses
70,70,1,Brasil,2,%,3.67,1,Brasil,202003,2020-03,1120,IPCA15 - Variação acumulada em 12 meses
71,71,1,Brasil,2,%,2.92,1,Brasil,202004,2020-04,1120,IPCA15 - Variação acumulada em 12 meses
72,72,1,Brasil,2,%,1.96,1,Brasil,202005,2020-05,1120,IPCA15 - Variação acumulada em 12 meses
73,73,1,Brasil,2,%,1.92,1,Brasil,202006,2020-06,1120,IPCA15 - Variação acumulada em 12 meses
74,74,1,Brasil,2,%,2.13,1,Brasil,202007,2020-07,1120,IPCA15 - Variação acumulada em 12 meses
75,75,1,Brasil,2,%,2.28,1,Brasil,202008,2020-08,1120,IPCA15 - Variação acumulada em 12 meses
76,76,1,Brasil,2,%,2.65,1,Brasil,202009,2020-09,1120,IPCA15 - Variação acumulada em 12 meses
77,77,1,Brasil,2,%,3.52,1,Brasil,202010,2020-10,1120,IPCA15 - Variação acumulada em 12 meses
78,78,1,Brasil,2,%,4.22,1,Brasil,202011,2020-11,1120,IPCA15 - Variação acumulada em 12 meses
79,79,1,Brasil,2,%,4.23,1,Brasil,202012,2020-12,1120,IPCA15 - Variação acumulada em 12 meses
80,80,1,Brasil,2,%,4.30,1,Brasil,202101,2021-01,1120,IPCA15 - Variação acumulada em 12 meses
81,81,1,Brasil,2,%,4.57,1,Brasil,202102,2021-02,1120,IPCA15 - Variação acumulada em 12 meses
82,82,1,Brasil,2,%,5.52,1,Brasil,202103,2021-03,1120,IPCA15 - Variação acumulada em 12 meses
83,83,1,Brasil,2,%,6.17,1,Brasil,202104,2021-04,1120,IPCA15 - Variação acumulada em 12 meses
84,84,1,Brasil,2,%,7.27,1,Brasil,202105,2021-05,1120,IPCA15 - Variação acumulada em 12 meses
85,85,1,Brasil,2,%,8.13,1,Brasil,202106,2021-06,1120,IPCA15 - Variação acumulada em 12 meses
86,86,1,Brasil,2,%,8.59,1,Brasil,202107,2021-07,1120,IPCA15 - Variação acumulada em 12 meses
87,87,1,Brasil,2,%,9.30,1,Brasil,202108,2021-08,1120,IPCA15 - Variação acumulada em 12 meses
88,88,1,Brasil,2,%,10.05,1,Brasil,202109,2021-09,1120,IPCA15 - Variação acumulada em 12 meses
89,89,1,Brasil,2,%,10.34,1,Brasil,202110,2021-10,1120,IPCA15 - Variação acumulada em 12 meses
90,90,1,Brasil,2,%,10.73,1,Brasil,202111,2021-11,1120,IPCA15 - Variação acumulada em 12 meses
91,91,1,Brasil,2,%,10.42,1,Brasil,202112,2021-12,1120,IPCA15 - Variação acumulada em 12 meses
92,92,1,Brasil,2,%,10.20,1,Brasil,202201,2022-01,1120,IPCA15 - Variação acumulada em 12 meses
93,93,1,Brasil,2,%,10.76,1,Brasil,202202,2022-02,1120,IPCA15 - Variação acumulada em 12 meses
94,94,1,Brasil,2,%,10.79,1,Brasil,202203,2022-03,1120,IPCA15 - Variação acumulada em 12 meses
95,95,1,Brasil,2,%,12.03,1,Brasil,202204,2022-04,1120,IPCA15 - Variação acumulada em 12 meses
96,96,1,Brasil,2,%,12.20,1,Brasil,202205,2022-05,1120,IPCA15 - Variação acumulada em 12 meses
97,97,1,Brasil,2,%,12.04,1,Brasil,202206,2022-06,1120,IPCA15 - Variação acumulada em 12 meses
98,98,1,Brasil,2,%,11.39,1,Brasil,202207,2022-07,1120,IPCA15 - Variação acumulada em 12 meses
99,99,1,Brasil,2,%,9.60,1,Brasil,202208,2022-08,1120,IPCA15 - Variação acumulada em 12 meses
100,100,1,Brasil,2,%,7.96,1,Brasil,202209,2022-09,1120,IPCA15 - Variação acumulada em 12 meses
101,101,1,Brasil,2,%,6.85,1,Brasil,202210,2022-10,1120,IPCA15 - Variação acumulada em 12 meses
102,102,1,Brasil,2,%,6.17,1,Brasil,202211,2022-11,1120,IPCA15 - Variação acumulada em 12 meses
103,103,1,Brasil,2,%,5.90,1,Brasil,202212,2022-12,1120,IPCA15 - Variação acumulada em 12 meses
104,104,1,Brasil,2,%,5.87,1,Brasil,202301,2023-01,1120,IPCA15 - Variação acumulada em 12 meses
105,105,1,Brasil,2,%,5.63,1,Brasil,202302,2023-02,1120,IPCA15 - Variação acumulada em 12 meses
106,106,1,Brasil,2,%,5.36,1,Brasil,202303,2023-03,1120,IPCA15 - Variação acumulada em 12 meses
107,107,1,Brasil,2,%,4.16,1,Brasil,202304,2023-04,1120,IPCA15 - Variação acumulada em 12 meses
