,Unnamed: 0,NC,NN,MC,MN,V,D1C,D1N,D2C,D2N,D3C,D3N
188,67,1,Brasil,2,%,0.71,1,Brasil,202001,2020-01,355,IPCA15 - Variação mensal
189,68,1,Brasil,2,%,0.22,1,Brasil,202002,2020-02,355,IPCA15 - Variação mensal
190,69,1,Brasil,2,%,0.02,1,Brasil,202003,2020-03,355,IPCA15 - Variação mensal
191,70,1,Brasil,2,%,-0.01,1,Brasil,202004,2020-04,355,IPCA15 - Variação mensal
192,71,1,Brasil,2,%,-0.59,1,Brasil,202005,2020-05,355,IPCA15 - Variação mensal
193,72,1,Brasil,2,%,0.02,1,Brasil,202006,2020-06,355,IPCA15 - Variação mensal
194,73,1,Brasil,2,%,0.30,1,Brasil,202007,2020-07,355,IPCA15 - Variação mensal
195,74,1,Brasil,2,%,0.23,1,Brasil,202008,2020-08,355,IPCA15 - Variação mensal
196,75,1,Brasil,2,%,0.45,1,Brasil,202009,2020-09,355,IPCA15 - Variação mensal
197,76,1,Brasil,2,%,0.94,1,Brasil,202010,2020-10,355,IPCA15 - Variação mensal
198,77,1,Brasil,2,%,0.81,1,Brasil,202011,2020-11,355,IPCA15 - Variação mensal
199,78,1,Brasil,2,%,1.06,1,Brasil,202012,2020-12,355,IPCA15 - Variação mensal
200,79,1,Brasil,2,%,0.78,1,Brasil,202101,2021-01,355,IPCA15 - Variação mensal
201,80,1,Brasil,2,%,0.48,1,Brasil,202102,2021-02,355,IPCA15 - Variação mensal
202,81,1,Brasil,2,%,0.93,1,Brasil,202103,2021-03,355,IPCA15 - Variação mensal
203,82,1,Brasil,2,%,0.60,1,Brasil,202104,2021-04,355,IPCA15 - Variação mensal
204,83,1,Brasil,2,%,0.44,1,Brasil,202105,2021-05,355,IPCA15 - Variação mensal
205,84,1,Brasil,2,%,0.83,1,Brasil,202106,2021-06,355,IPCA15 - Variação mensal
206,85,1,Brasil,2,%,0.72,1,Brasil,202107,2021-07,355,IPCA15 - Variação mensal
207,86,1,Brasil,2,%,0.89,1,Brasil,202108,2021-08,355,IPCA15 - Variação mensal
208,87,1,Brasil,2,%,1.14,1,Brasil,202109,2021-09,355,IPCA15 - Variação mensal
209,88,1,Brasil,2,%,1.20,1,Brasil,202110,2021-10,355,IPCA15 - Variação mensal
210,89,1,Brasil,2,%,1.17,1,Brasil,202111,2021-11,355,IPCA15 - Variação mensal
211,90,1,Brasil,2,%,0.78,1,Brasil,202112,2021-12,355,IPCA15 - Variação mensal
212,91,1,Brasil,2,%,0.58,1,Brasil,202201,2022-01,355,IPCA15 - Variação mensal
213,92,1,Brasil,2,%,0.99,1,Brasil,202202,2022-02,355,IPCA15 - Variação mensal
214,93,1,Brasil,2,%,0.95,1,Brasil,202203,2022-03,355,IPCA15 - Variação mensal
215,94,1,Brasil,2,%,1.73,1,Brasil,202204,2022-04,355,IPCA15 - Variação mensal
216,95,1,Brasil,2,%,0.59,1,Brasil,202205,2022-05,355,IPCA15 - Variação mensal
217,96,1,Brasil,2,%,0.69,1,Brasil,202206,2022-06,355,IPCA15 - Variação mensal
218,97,1,Brasil,2,%,0.13,1,Brasil,202207,2022-07,355,IPCA15 - Variação mensal
219,98,1,Brasil,2,%,-0.73,1,Brasil,202208,2022-08,355,IPCA15 - Variação mensal
220,99,1,Brasil,2,%,-0.37,1,Brasil,202209,2022-09,355,IPCA15 - Variação mensal
221,100,1,Brasil,2,%,0.16,1,Brasil,202210,2022-10,355,IPCA15 - Variação mensal
222,101,1,Brasil,2,%,0.53,1,Brasil,202211,2022-11,355,IPCA15 - Variação mensal
223,102,1,Brasil,2,%,0.52,1,Brasil,202212,2022-12,355,IPCA15 - Variação mensal
224,103,1,Brasil,2,%,0.55,1,Brasil,202301,2023-01,355,IPCA15 - Variação mensal
225,104,1,Brasil,2,%,0.76,1,Brasil,202302,2023-02,355,IPCA15 - Variação mensal
226,105,1,Brasil,2,%,0.69,1,Brasil,202303,2023-03,355,IPCA15 - Variação mensal
227,106,1,Brasil,2,%,0.57,1,Brasil,202304,2023-04,355,IPCA15 - Variação mensal
228,107,1,Brasil,2,%,0.51,1,Brasil,202305,2023-05,355,IPCA15 - Variação mensal
229,108,1,Brasil,2,%,0.04,1,Brasil,202306,2023-06,355,IPCA15 - Variação mensal
230,109,1,Brasil,2,%,-0.07,1,Brasil,202307,2023-07,355,IPCA15 - Variação mensal
231,110,1,Brasil,2,%,0.28,1,Brasil,202308,2023-08,355,IPCA15 - Variação mensal
232,111,1,Brasil,2,%,0.35,1,Brasil,202309,2023-09,355,IPCA15 - Variação mensal
233,112,1,Brasil,2,%,0.21,1,Brasil,202310,2023-10,355,IPCA15 - Variação mensal
234,113,1,Brasil,2,%,0.33,1,Brasil,202311,2023-11,355,IPCA15 - Variação mensal
235,114,1,Brasil,2,%,0.40,1,Brasil,202312,2023-12,355,IPCA15 - Variação mensal
236,115,1,Brasil,2,%,0.31,1,Brasil,202401,2024-01,355,IPCA15 - Variação mensal
237,116,1,Brasil,2,%,0.78,1,Brasil,202402,2024-02,355,IPCA15 - Variação mensal
238,117,1,Brasil,2,%,0.36,1,Brasil,202403,2024-03,355,IPCA15 - Variação mensal
239,118,1,Brasil,2,%,0.21,1,Brasil,202404,2024-04,355,IPCA15 - Variação mensal
240,119,1,Brasil,2,%,0.44,1,Brasil,202405,2024-05,355,IPCA15 - Variação mensal
241,120,1,Brasil,2,%,0.39,1,Brasil,202406,2024-06,355,IPCA15 - Variação mensal
