,data,variavel,grupo,ipca_acum_ano,data_formatada
0,2021-01-01,IPCA % acum. ano,Índice geral,0.25,January 2021
1,2021-02-01,IPCA % acum. ano,Índice geral,1.11,February 2021
2,2021-03-01,IPCA % acum. ano,Índice geral,2.05,March 2021
3,2021-04-01,IPCA % acum. ano,Índice geral,2.37,April 2021
4,2021-05-01,IPCA % acum. ano,Índice geral,3.22,May 2021
5,2021-06-01,IPCA % acum. ano,Índice geral,3.77,June 2021
6,2021-07-01,IPCA % acum. ano,Índice geral,4.76,July 2021
7,2021-08-01,IPCA % acum. ano,Índice geral,5.67,August 2021
8,2021-09-01,IPCA % acum. ano,Índice geral,6.9,September 2021
9,2021-10-01,IPCA % acum. ano,Índice geral,8.24,October 2021
10,2021-11-01,IPCA % acum. ano,Índice geral,9.26,November 2021
11,2021-12-01,IPCA % acum. ano,Índice geral,10.06,December 2021
12,2022-01-01,IPCA % acum. ano,Índice geral,0.54,January 2022
13,2022-02-01,IPCA % acum. ano,Índice geral,1.56,February 2022
14,2022-03-01,IPCA % acum. ano,Índice geral,3.2,March 2022
15,2022-04-01,IPCA % acum. ano,Índice geral,4.29,April 2022
16,2022-05-01,IPCA % acum. ano,Índice geral,4.78,May 2022
17,2022-06-01,IPCA % acum. ano,Índice geral,5.49,June 2022
18,2022-07-01,IPCA % acum. ano,Índice geral,4.77,July 2022
19,2022-08-01,IPCA % acum. ano,Índice geral,4.39,August 2022
20,2022-09-01,IPCA % acum. ano,Índice geral,4.09,September 2022
21,2022-10-01,IPCA % acum. ano,Índice geral,4.7,October 2022
22,2022-11-01,IPCA % acum. ano,Índice geral,5.13,November 2022
23,2022-12-01,IPCA % acum. ano,Índice geral,5.79,December 2022
24,2023-01-01,IPCA % acum. ano,Índice geral,0.53,January 2023
25,2023-02-01,IPCA % acum. ano,Índice geral,1.37,February 2023
26,2023-03-01,IPCA % acum. ano,Índice geral,2.09,March 2023
27,2023-04-01,IPCA % acum. ano,Índice geral,2.72,April 2023
28,2023-05-01,IPCA % acum. ano,Índice geral,2.95,May 2023
29,2023-06-01,IPCA % acum. ano,Índice geral,2.87,June 2023
30,2023-07-01,IPCA % acum. ano,Índice geral,2.99,July 2023
31,2023-08-01,IPCA % acum. ano,Índice geral,3.23,August 2023
32,2023-09-01,IPCA % acum. ano,Índice geral,3.5,September 2023
33,2023-10-01,IPCA % acum. ano,Índice geral,3.75,October 2023
34,2023-11-01,IPCA % acum. ano,Índice geral,4.04,November 2023
35,2023-12-01,IPCA % acum. ano,Índice geral,4.62,December 2023
36,2024-01-01,IPCA % acum. ano,Índice geral,0.42,January 2024
37,2024-02-01,IPCA % acum. ano,Índice geral,1.25,February 2024
38,2024-03-01,IPCA % acum. ano,Índice geral,1.42,March 2024
39,2024-04-01,IPCA % acum. ano,Índice geral,1.8,April 2024
40,2024-05-01,IPCA % acum. ano,Índice geral,2.27,May 2024
