data,variavel,grupo,ipca_acum_ano
2020-01-01,IPCA % acum. ano,Índice geral,0.21
2020-01-01,IPCA % acum. ano,1.Alimentação e bebidas,0.39
2020-01-01,IPCA % acum. ano,11.Alimentação no domicílio,0.2
2020-01-01,IPCA % acum. ano,"1101.Cereais, leguminosas e oleaginosas",0.75
2020-01-01,IPCA % acum. ano,1101002.Arroz,1.31
2020-01-01,IPCA % acum. ano,1101051.Feijão - mulatinho,4.5
2020-01-01,IPCA % acum. ano,1101052.Feijão - preto,-2.68
2020-01-01,IPCA % acum. ano,1101053.Feijão - macáçar (fradinho),5.39
2020-01-01,IPCA % acum. ano,1101073.Feijão - carioca (rajado),-0.7
2020-01-01,IPCA % acum. ano,1101079.Milho (em grão),0.2
2020-01-01,IPCA % acum. ano,"1102.Farinhas, féculas e massas",0.9
2020-01-01,IPCA % acum. ano,1102001.Farinha de arroz,1.25
2020-01-01,IPCA % acum. ano,1102006.Macarrão,-0.18
2020-01-01,IPCA % acum. ano,1102008.Fubá de milho,0.43
2020-01-01,IPCA % acum. ano,1102010.Flocos de milho,-0.03
2020-01-01,IPCA % acum. ano,1102012.Farinha de trigo,0.3
2020-01-01,IPCA % acum. ano,1102023.Farinha de mandioca,2.51
2020-01-01,IPCA % acum. ano,1102029.Massa semipreparada,1.85
2020-01-01,IPCA % acum. ano,1102061.Macarrão instantâneo,-1.32
2020-01-01,IPCA % acum. ano,"1103.Tubérculos, raízes e legumes",7.81
2020-01-01,IPCA % acum. ano,1103002.Batata-doce,4.67
2020-01-01,IPCA % acum. ano,1103003.Batata-inglesa,11.02
2020-01-01,IPCA % acum. ano,1103004.Inhame,1.65
2020-01-01,IPCA % acum. ano,1103005.Mandioca (aipim),-2.43
2020-01-01,IPCA % acum. ano,1103020.Abobrinha,17.39
2020-01-01,IPCA % acum. ano,1103025.Pepino,10.1
2020-01-01,IPCA % acum. ano,1103026.Pimentão,-7.58
2020-01-01,IPCA % acum. ano,1103028.Tomate,13.72
2020-01-01,IPCA % acum. ano,1103043.Cebola,-6.06
2020-01-01,IPCA % acum. ano,1103044.Cenoura,13.92
2020-01-01,IPCA % acum. ano,1104.Açúcares e derivados,0.74
2020-01-01,IPCA % acum. ano,1104003.Açúcar refinado,0.44
2020-01-01,IPCA % acum. ano,1104004.Açúcar cristal,2.38
2020-01-01,IPCA % acum. ano,1104018.Balas,-1.22
2020-01-01,IPCA % acum. ano,1104023.Chocolate em barra e bombom,0.82
2020-01-01,IPCA % acum. ano,1104032.Sorvete,-0.18
2020-01-01,IPCA % acum. ano,1104052.Chocolate e achocolatado em pó,0.88
2020-01-01,IPCA % acum. ano,1104060.Doce de frutas em pasta,-0.51
2020-01-01,IPCA % acum. ano,1104067.Açúcar demerara,0.17
2020-01-01,IPCA % acum. ano,1105.Hortaliças e verduras,2.52
2020-01-01,IPCA % acum. ano,1105001.Alface,3.24
2020-01-01,IPCA % acum. ano,1105004.Coentro,2.26
2020-01-01,IPCA % acum. ano,1105005.Couve,2.32
2020-01-01,IPCA % acum. ano,1105006.Couve-flor,7.13
2020-01-01,IPCA % acum. ano,1105010.Repolho,4.37
2020-01-01,IPCA % acum. ano,1105012.Cheiro-verde,1.72
2020-01-01,IPCA % acum. ano,1105019.Brócolis,0.03
2020-01-01,IPCA % acum. ano,1106.Frutas,1.87
2020-01-01,IPCA % acum. ano,1106001.Banana-da-terra,2.19
2020-01-01,IPCA % acum. ano,1106003.Abacaxi,-1.19
2020-01-01,IPCA % acum. ano,1106004.Abacate,5.4
2020-01-01,IPCA % acum. ano,1106005.Banana - d'água,-1.9
2020-01-01,IPCA % acum. ano,1106006.Banana - maçã,10.47
2020-01-01,IPCA % acum. ano,1106008.Banana - prata,7.87
2020-01-01,IPCA % acum. ano,1106011.Laranja - baía,-8.07
2020-01-01,IPCA % acum. ano,1106012.Laranja - lima,6.15
2020-01-01,IPCA % acum. ano,1106015.Limão,-30.35
2020-01-01,IPCA % acum. ano,1106017.Maçã,2.95
2020-01-01,IPCA % acum. ano,1106018.Mamão,-2.2
2020-01-01,IPCA % acum. ano,1106019.Manga,3.14
2020-01-01,IPCA % acum. ano,1106020.Maracujá,24.56
2020-01-01,IPCA % acum. ano,1106021.Melancia,-3.24
2020-01-01,IPCA % acum. ano,1106022.Melão,-2.89
2020-01-01,IPCA % acum. ano,1106023.Pera,5.38
2020-01-01,IPCA % acum. ano,1106027.Tangerina,1.37
2020-01-01,IPCA % acum. ano,1106028.Uva,2.88
2020-01-01,IPCA % acum. ano,1106039.Laranja - pera,6.26
2020-01-01,IPCA % acum. ano,1106051.Morango,-1.57
2020-01-01,IPCA % acum. ano,1106084.Goiaba,4.05
2020-01-01,IPCA % acum. ano,1107.Carnes,-4.03
2020-01-01,IPCA % acum. ano,1107009.Fígado,1.76
2020-01-01,IPCA % acum. ano,1107018.Carne de porco,1.66
2020-01-01,IPCA % acum. ano,1107031.Carne de carneiro,-2.73
2020-01-01,IPCA % acum. ano,1107081.Cupim,1.43
2020-01-01,IPCA % acum. ano,1107084.Contrafilé,-5.09
2020-01-01,IPCA % acum. ano,1107085.Filé-mignon,-9.42
2020-01-01,IPCA % acum. ano,1107087.Chã de dentro,-6.83
2020-01-01,IPCA % acum. ano,1107088.Alcatra,-5.89
2020-01-01,IPCA % acum. ano,1107089.Patinho,-8.32
2020-01-01,IPCA % acum. ano,1107090.Lagarto redondo,-3.94
2020-01-01,IPCA % acum. ano,1107091.Lagarto comum,-4.34
2020-01-01,IPCA % acum. ano,1107093.Músculo,-1.89
2020-01-01,IPCA % acum. ano,1107094.Pá,-4.71
2020-01-01,IPCA % acum. ano,1107095.Acém,-6.52
2020-01-01,IPCA % acum. ano,1107096.Peito,0.08
2020-01-01,IPCA % acum. ano,1107097.Capa de filé,1.45
2020-01-01,IPCA % acum. ano,1107099.Costela,-1.31
2020-01-01,IPCA % acum. ano,1107208.Picanha,-1.51
2020-01-01,IPCA % acum. ano,1108.Pescados,3.39
2020-01-01,IPCA % acum. ano,1108002.Peixe - anchova,2.51
2020-01-01,IPCA % acum. ano,1108004.Peixe - corvina,9.24
2020-01-01,IPCA % acum. ano,1108011.Peixe - tainha,2.5
2020-01-01,IPCA % acum. ano,1108012.Peixe - sardinha,0.59
2020-01-01,IPCA % acum. ano,1108013.Camarão,2.2
2020-01-01,IPCA % acum. ano,1108019.Peixe - cavala,3.17
2020-01-01,IPCA % acum. ano,1108029.Peixe - cação,4.61
2020-01-01,IPCA % acum. ano,1108031.Peixe - merluza,1.27
2020-01-01,IPCA % acum. ano,1108032.Peixe - serra,-3.03
2020-01-01,IPCA % acum. ano,1108038.Peixe - pescada,6.3
2020-01-01,IPCA % acum. ano,1108045.Caranguejo,5.06
2020-01-01,IPCA % acum. ano,1108049.Peixe - castanha,2.47
2020-01-01,IPCA % acum. ano,1108052.Peixe - palombeta,-0.23
2020-01-01,IPCA % acum. ano,1108072.Peixe - curimatã,1.25
2020-01-01,IPCA % acum. ano,1108075.Peixe - salmão,-1.87
2020-01-01,IPCA % acum. ano,1108080.Peixe - tilápia,1.72
2020-01-01,IPCA % acum. ano,1108087.Peixe - tambaqui,-0.68
2020-01-01,IPCA % acum. ano,1108088.Peixe - dourada,11.74
2020-01-01,IPCA % acum. ano,1108092.Peixe - filhote,24.76
2020-01-01,IPCA % acum. ano,1108096.Peixe - peroá,9.4
2020-01-01,IPCA % acum. ano,1108112.Peixe - pintado,0.04
2020-01-01,IPCA % acum. ano,1108125.Peixe - aruanã,-0.45
2020-01-01,IPCA % acum. ano,1109.Carnes e peixes industrializados,1.64
2020-01-01,IPCA % acum. ano,1109002.Presunto,2.03
2020-01-01,IPCA % acum. ano,1109007.Salsicha,-0.17
2020-01-01,IPCA % acum. ano,1109008.Linguiça,1.41
2020-01-01,IPCA % acum. ano,1109010.Mortadela,0.81
