,data,variavel,grupo,valor
60328,2020-01-01,IPCA peso mensal,Índice geral,0.21
60329,2020-01-01,IPCA peso mensal,1.Alimentação e bebidas,0.39
60330,2020-01-01,IPCA peso mensal,11.Alimentação no domicílio,0.2
60331,2020-01-01,IPCA peso mensal,"1101.Cereais, leguminosas e oleaginosas",0.75
60332,2020-01-01,IPCA peso mensal,1101002.Arroz,1.31
60333,2020-01-01,IPCA peso mensal,1101051.Feijão - mulatinho,4.5
60334,2020-01-01,IPCA peso mensal,1101052.Feijão - preto,-2.68
60335,2020-01-01,IPCA peso mensal,1101053.Feijão - macáçar (fradinho),5.39
60336,2020-01-01,IPCA peso mensal,1101073.Feijão - carioca (rajado),-0.7
60337,2020-01-01,IPCA peso mensal,1101079.Milho (em grão),0.2
60338,2020-01-01,IPCA peso mensal,"1102.Farinhas, féculas e massas",0.9
60339,2020-01-01,IPCA peso mensal,1102001.Farinha de arroz,1.25
60340,2020-01-01,IPCA peso mensal,1102006.Macarrão,-0.18
60341,2020-01-01,IPCA peso mensal,1102008.Fubá de milho,0.43
60342,2020-01-01,IPCA peso mensal,1102010.Flocos de milho,-0.03
60343,2020-01-01,IPCA peso mensal,1102012.Farinha de trigo,0.3
60344,2020-01-01,IPCA peso mensal,1102023.Farinha de mandioca,2.51
60345,2020-01-01,IPCA peso mensal,1102029.Massa semipreparada,1.85
60346,2020-01-01,IPCA peso mensal,1102061.Macarrão instantâneo,-1.32
60347,2020-01-01,IPCA peso mensal,"1103.Tubérculos, raízes e legumes",7.81
60348,2020-01-01,IPCA peso mensal,1103002.Batata-doce,4.67
60349,2020-01-01,IPCA peso mensal,1103003.Batata-inglesa,11.02
60350,2020-01-01,IPCA peso mensal,1103004.Inhame,1.65
60351,2020-01-01,IPCA peso mensal,1103005.Mandioca (aipim),-2.43
60352,2020-01-01,IPCA peso mensal,1103020.Abobrinha,17.39
60353,2020-01-01,IPCA peso mensal,1103025.Pepino,10.1
60354,2020-01-01,IPCA peso mensal,1103026.Pimentão,-7.58
60355,2020-01-01,IPCA peso mensal,1103028.Tomate,13.72
60356,2020-01-01,IPCA peso mensal,1103043.Cebola,-6.06
60357,2020-01-01,IPCA peso mensal,1103044.Cenoura,13.92
60358,2020-01-01,IPCA peso mensal,1104.Açúcares e derivados,0.74
60359,2020-01-01,IPCA peso mensal,1104003.Açúcar refinado,0.44
60360,2020-01-01,IPCA peso mensal,1104004.Açúcar cristal,2.38
60361,2020-01-01,IPCA peso mensal,1104018.Balas,-1.22
60362,2020-01-01,IPCA peso mensal,1104023.Chocolate em barra e bombom,0.82
60363,2020-01-01,IPCA peso mensal,1104032.Sorvete,-0.18
60364,2020-01-01,IPCA peso mensal,1104052.Chocolate e achocolatado em pó,0.88
60365,2020-01-01,IPCA peso mensal,1104060.Doce de frutas em pasta,-0.51
60366,2020-01-01,IPCA peso mensal,1104067.Açúcar demerara,0.17
60367,2020-01-01,IPCA peso mensal,1105.Hortaliças e verduras,2.52
60368,2020-01-01,IPCA peso mensal,1105001.Alface,3.24
60369,2020-01-01,IPCA peso mensal,1105004.Coentro,2.26
60370,2020-01-01,IPCA peso mensal,1105005.Couve,2.32
60371,2020-01-01,IPCA peso mensal,1105006.Couve-flor,7.13
60372,2020-01-01,IPCA peso mensal,1105010.Repolho,4.37
60373,2020-01-01,IPCA peso mensal,1105012.Cheiro-verde,1.72
60374,2020-01-01,IPCA peso mensal,1105019.Brócolis,0.03
