,Date,Núcleos,valor
0,2019,IPCA-EX0,2.79383176241379
1,2020,IPCA-EX0,2.2958410336341606
2,2021,IPCA-EX0,7.554996388032453
3,2022,IPCA-EX0,8.401948376703071
4,2023,IPCA-EX0,2.236708536898746
5,2019,IPCA-EX1,3.4112596581486354
6,2020,IPCA-EX1,2.7571657207973166
7,2021,IPCA-EX1,7.287325063844974
8,2022,IPCA-EX1,7.81342216078742
9,2023,IPCA-EX1,2.675556649295019
10,2019,IPCA-EX2,2.681285848917958
11,2020,IPCA-EX2,2.8942186886069976
12,2021,IPCA-EX2,7.438812531432659
13,2022,IPCA-EX2,11.379933521062235
14,2023,IPCA-EX2,1.903218230864967
15,2019,IPCA-EX3,2.9067954726088363
16,2020,IPCA-EX3,2.443459585437635
17,2021,IPCA-EX3,7.118485533356256
18,2022,IPCA-EX3,11.104611956884414
19,2023,IPCA-EX3,1.8828410711163368
20,2019,IPCA-MA,3.2158491963563796
21,2020,IPCA-MA,2.6815541409712207
22,2021,IPCA-MA,7.2484593583531876
23,2022,IPCA-MA,9.354493222872385
24,2023,IPCA-MA,1.8425317295359678
25,2019,IPCA-MS,2.927724951201216
26,2020,IPCA-MS,3.131658252574243
27,2021,IPCA-MS,7.0782334655133505
28,2022,IPCA-MS,7.8783566621673184
29,2023,IPCA-MS,2.025025054971197
30,2019,IPCA-DP,3.751511003247643
31,2020,IPCA-DP,3.11076924018745
32,2021,IPCA-DP,7.622661615319348
33,2022,IPCA-DP,8.30608884162094
34,2023,IPCA-DP,2.4417652723942362
35,2019,IPCA-P55,3.236536037921778
36,2020,IPCA-P55,3.4822823118860535
37,2021,IPCA-P55,7.525848982177119
38,2022,IPCA-P55,8.448099131930897
39,2023,IPCA-P55,2.2992566327681097
