data,variavel,grupo,vm_grupos
2020-01-01,IPCA peso mensal,Índice geral,0.21
2020-01-01,IPCA peso mensal,1.Alimentação e bebidas,0.39
2020-01-01,IPCA peso mensal,11.Alimentação no domicílio,0.2
2020-01-01,IPCA peso mensal,"1101.Cereais, leguminosas e oleaginosas",0.75
2020-01-01,IPCA peso mensal,1101002.Arroz,1.31
2020-01-01,IPCA peso mensal,1101051.Feijão - mulatinho,4.5
2020-01-01,IPCA peso mensal,1101052.Feijão - preto,-2.68
2020-01-01,IPCA peso mensal,1101053.Feijão - macáçar (fradinho),5.39
2020-01-01,IPCA peso mensal,1101073.Feijão - carioca (rajado),-0.7
2020-01-01,IPCA peso mensal,1101079.Milho (em grão),0.2
2020-01-01,IPCA peso mensal,"1102.Farinhas, féculas e massas",0.9
2020-01-01,IPCA peso mensal,1102001.Farinha de arroz,1.25
2020-01-01,IPCA peso mensal,1102006.Macarrão,-0.18
2020-01-01,IPCA peso mensal,1102008.Fubá de milho,0.43
2020-01-01,IPCA peso mensal,1102010.Flocos de milho,-0.03
2020-01-01,IPCA peso mensal,1102012.Farinha de trigo,0.3
2020-01-01,IPCA peso mensal,1102023.Farinha de mandioca,2.51
2020-01-01,IPCA peso mensal,1102029.Massa semipreparada,1.85
2020-01-01,IPCA peso mensal,1102061.Macarrão instantâneo,-1.32
2020-01-01,IPCA peso mensal,"1103.Tubérculos, raízes e legumes",7.81
2020-01-01,IPCA peso mensal,1103002.Batata-doce,4.67
2020-01-01,IPCA peso mensal,1103003.Batata-inglesa,11.02
2020-01-01,IPCA peso mensal,1103004.Inhame,1.65
2020-01-01,IPCA peso mensal,1103005.Mandioca (aipim),-2.43
2020-01-01,IPCA peso mensal,1103020.Abobrinha,17.39
2020-01-01,IPCA peso mensal,1103025.Pepino,10.1
2020-01-01,IPCA peso mensal,1103026.Pimentão,-7.58
2020-01-01,IPCA peso mensal,1103028.Tomate,13.72
2020-01-01,IPCA peso mensal,1103043.Cebola,-6.06
2020-01-01,IPCA peso mensal,1103044.Cenoura,13.92
2020-01-01,IPCA peso mensal,1104.Açúcares e derivados,0.74
2020-01-01,IPCA peso mensal,1104003.Açúcar refinado,0.44
2020-01-01,IPCA peso mensal,1104004.Açúcar cristal,2.38
2020-01-01,IPCA peso mensal,1104018.Balas,-1.22
2020-01-01,IPCA peso mensal,1104023.Chocolate em barra e bombom,0.82
2020-01-01,IPCA peso mensal,1104032.Sorvete,-0.18
2020-01-01,IPCA peso mensal,1104052.Chocolate e achocolatado em pó,0.88
2020-01-01,IPCA peso mensal,1104060.Doce de frutas em pasta,-0.51
2020-01-01,IPCA peso mensal,1104067.Açúcar demerara,0.17
2020-01-01,IPCA peso mensal,1105.Hortaliças e verduras,2.52
2020-01-01,IPCA peso mensal,1105001.Alface,3.24
2020-01-01,IPCA peso mensal,1105004.Coentro,2.26
2020-01-01,IPCA peso mensal,1105005.Couve,2.32
2020-01-01,IPCA peso mensal,1105006.Couve-flor,7.13
2020-01-01,IPCA peso mensal,1105010.Repolho,4.37
2020-01-01,IPCA peso mensal,1105012.Cheiro-verde,1.72
2020-01-01,IPCA peso mensal,1105019.Brócolis,0.03
2020-01-01,IPCA peso mensal,1106.Frutas,1.87
2020-01-01,IPCA peso mensal,1106001.Banana-da-terra,2.19
