,data,rubrica,num_indice,trimestre,ano,Var. % interanual,Var. % anual,num_indice_acum,Var. % acumulada no ano
7,1996-01-01,PIB,96.84,1996.I,1996,,,96.84,
16,1996-04-01,PIB,100.12,1996.II,1996,,,196.96,
25,1996-07-01,PIB,107.56,1996.III,1996,,,304.52,
34,1996-10-01,PIB,104.31,1996.IV,1996,,,408.83,
43,1997-01-01,PIB,100.13,1997.I,1997,3.397356464270951,,100.13,3.397356464270951
52,1997-04-01,PIB,104.88,1997.II,1997,4.75429484618457,,205.01,4.087124289195776
61,1997-07-01,PIB,109.49,1997.III,1997,1.7943473410189537,,314.5,3.277288848023119
70,1997-10-01,PIB,108.21,1997.IV,1997,3.738855335058955,3.3950541789986133,422.71,3.3950541789986133
79,1998-01-01,PIB,101.14,1998.I,1998,1.0086887046839133,2.8147141609240034,101.14,1.0086887046839133
88,1998-04-01,PIB,106.46,1998.II,1998,1.5064836003051196,2.0197658798695173,207.6,1.2633530071703758
97,1998-07-01,PIB,109.88,1998.III,1998,0.3561969129600939,1.6427496955660148,317.48,0.9475357710651888
106,1998-10-01,PIB,106.66,1998.IV,1998,-1.432399963034836,0.33829339263322655,424.14,0.33829339263324876
115,1999-01-01,PIB,101.92,1999.I,1999,0.7712082262210762,0.2832058906825141,101.92,0.7712082262210762
124,1999-04-01,PIB,106.04,1999.II,1999,-0.39451437159495617,-0.1881025158711469,207.96,0.1734104046242857
133,1999-07-01,PIB,109.2,1999.III,1999,-0.6188569348379969,-0.43928680495196604,317.16,-0.10079375078745345
142,1999-10-01,PIB,108.97,1999.IV,1999,2.165760360022495,0.4691847031640606,426.13,0.4691847031640606
151,2000-01-01,PIB,106.4,2000.I,2000,4.395604395604402,1.3390755906994345,106.4,4.395604395604402
160,2000-04-01,PIB,110.25,2000.II,2000,3.970199924556761,2.4310954063604173,216.65,4.178688209271009
169,2000-07-01,PIB,114.19,2000.III,2000,4.569597069597076,3.7728280873955855,330.84000000000003,4.313280363223604
178,2000-10-01,PIB,113.98,2000.IV,2000,4.597595668532639,4.385985497383427,444.82000000000005,4.385985497383449
