,data,rubrica,num_indice_sa,Var. % margem,ano,mes,trimestre
7,1996-01-01,PIB,99.42,,1996,1,1996.I
16,1996-04-01,PIB,100.65,1.2371756185878047,1996,4,1996.II
25,1996-07-01,PIB,104.16,3.487332339791349,1996,7,1996.III
34,1996-10-01,PIB,103.38,-0.748847926267282,1996,10,1996.IV
43,1997-01-01,PIB,104.41,0.9963242406655137,1997,1,1997.I
52,1997-04-01,PIB,105.01,0.5746575998467618,1997,4,1997.II
61,1997-07-01,PIB,106.14,1.0760879916198451,1997,7,1997.III
70,1997-10-01,PIB,107.22,1.0175240248728068,1997,10,1997.IV
79,1998-01-01,PIB,105.11,-1.9679164335012156,1998,1,1998.I
88,1998-04-01,PIB,106.8,1.60783940633622,1998,4,1998.II
97,1998-07-01,PIB,106.73,-0.06554307116104496,1998,7,1998.III
106,1998-10-01,PIB,105.65,-1.0118991848589887,1998,10,1998.IV
115,1999-01-01,PIB,105.82,0.16090866067202114,1999,1,1999.I
124,1999-04-01,PIB,106.25,0.40635040635041975,1999,4,1999.II
133,1999-07-01,PIB,106.37,0.11294117647058233,1999,7,1999.III
142,1999-10-01,PIB,107.83,1.3725674532292897,1999,10,1999.IV
151,2000-01-01,PIB,109.0,1.0850412686636446,2000,1,2000.I
160,2000-04-01,PIB,110.45,1.3302752293578024,2000,4,2000.II
169,2000-07-01,PIB,111.96,1.3671344499773586,2000,7,2000.III
178,2000-10-01,PIB,113.23,1.134333690603806,2000,10,2000.IV
187,2001-01-01,PIB,113.52,0.25611587035236916,2001,1,2001.I
196,2001-04-01,PIB,113.08,-0.3875968992248069,2001,4,2001.II
205,2001-07-01,PIB,112.58,-0.442164839051995,2001,7,2001.III
214,2001-10-01,PIB,112.06,-0.4618937644341736,2001,10,2001.IV
223,2002-01-01,PIB,114.88,2.5165090130287338,2002,1,2002.I
232,2002-04-01,PIB,115.34,0.40041782729804964,2002,4,2002.II
241,2002-07-01,PIB,116.77,1.2398127275879967,2002,7,2002.III
250,2002-10-01,PIB,117.9,0.9677143101824104,2002,10,2002.IV
259,2003-01-01,PIB,117.52,-0.3223070398643002,2003,1,2003.I
268,2003-04-01,PIB,116.55,-0.8253914227365544,2003,4,2003.II
277,2003-07-01,PIB,117.51,0.823680823680828,2003,7,2003.III
286,2003-10-01,PIB,118.74,1.0467194281337688,2003,10,2003.IV
295,2004-01-01,PIB,120.51,1.4906518443658534,2004,1,2004.I
304,2004-04-01,PIB,123.77,2.7051696954609517,2004,4,2004.II
313,2004-07-01,PIB,125.26,1.2038458430960741,2004,7,2004.III
322,2004-10-01,PIB,126.31,0.8382564266325998,2004,10,2004.IV
331,2005-01-01,PIB,127.35,0.8233710711740949,2005,1,2005.I
340,2005-04-01,PIB,128.83,1.1621515508441371,2005,4,2005.II
349,2005-07-01,PIB,127.96,-0.6753085461461028,2005,7,2005.III
358,2005-10-01,PIB,129.75,1.3988746483275971,2005,10,2005.IV
367,2006-01-01,PIB,131.65,1.4643545279383385,2006,1,2006.I
376,2006-04-01,PIB,132.18,0.4025826053930981,2006,4,2006.II
385,2006-07-01,PIB,134.32,1.6190043879558136,2006,7,2006.III
394,2006-10-01,PIB,136.03,1.2730792138177627,2006,10,2006.IV
403,2007-01-01,PIB,138.45,1.779019333970444,2007,1,2007.I
412,2007-04-01,PIB,140.83,1.719032141567367,2007,4,2007.II
421,2007-07-01,PIB,142.23,0.9941063693815089,2007,7,2007.III
430,2007-10-01,PIB,144.37,1.5046052169022106,2007,10,2007.IV
439,2008-01-01,PIB,146.29,1.3299161875735876,2008,1,2008.I
448,2008-04-01,PIB,149.3,2.057556907512481,2008,4,2008.II
457,2008-07-01,PIB,151.5,1.4735432016074856,2008,7,2008.III
466,2008-10-01,PIB,145.88,-3.709570957095709,2008,10,2008.IV
475,2009-01-01,PIB,143.94,-1.3298601590348236,2009,1,2009.I
484,2009-04-01,PIB,146.45,1.7437821314436608,2009,4,2009.II
493,2009-07-01,PIB,149.9,2.355752816660983,2009,7,2009.III
502,2009-10-01,PIB,153.67,2.5150100066710923,2009,10,2009.IV
511,2010-01-01,PIB,156.99,2.1604737424351095,2010,1,2010.I
520,2010-04-01,PIB,158.93,1.2357474998407447,2010,4,2010.II
529,2010-07-01,PIB,160.35,0.8934751148304221,2010,7,2010.III
538,2010-10-01,PIB,162.54,1.3657623947614494,2010,10,2010.IV
547,2011-01-01,PIB,164.94,1.4765596160944972,2011,1,2011.I
556,2011-04-01,PIB,166.38,0.8730447435431055,2011,4,2011.II
565,2011-07-01,PIB,166.12,-0.15626878230555752,2011,7,2011.III
574,2011-10-01,PIB,167.62,0.9029617144233004,2011,10,2011.IV
583,2012-01-01,PIB,165.37,-1.3423219186254665,2012,1,2012.I
592,2012-04-01,PIB,168.16,1.6871258390276367,2012,4,2012.II
601,2012-07-01,PIB,171.08,1.736441484300677,2012,7,2012.III
610,2012-10-01,PIB,171.19,0.06429740472293499,2012,10,2012.IV
619,2013-01-01,PIB,172.03,0.49068286698989994,2013,1,2013.I
